# {RLPD} e2e per-phase acquisition from episode_rollouts.jsonl (amendment (u) records).
# ONLINE TRAINING ROLLOUTS from the exploring policy -- NOT the evaluation protocol.
# Endpoints are NOT table numbers (eval uses sampled/mode actions on rnd30/spots60, final ckpt).
family,arm,stage,bin,step,mean,se,n_seeds,per_seed,seed_ids
e2e,human,picked,0,6250.0,0.0017889087656529517,0.0017889087656529517,13,0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0233,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,1,18750.0,0.08475290934704488,0.01239732567291218,13,0.0000 0.0980 0.0200 0.0816 0.0667 0.1333 0.0816 0.0625 0.0625 0.1489 0.1277 0.1373 0.0816,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,2,31250.0,0.22545000873481727,0.034527051459838407,13,0.2712 0.1754 0.0196 0.0600 0.2941 0.1887 0.2593 0.0755 0.3750 0.3548 0.1887 0.4286 0.2400,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,3,43750.0,0.27047954058357637,0.026485297465121925,13,0.3200 0.3208 0.1091 0.2745 0.2400 0.1837 0.3462 0.4500 0.2917 0.3654 0.2400 0.1250 0.2500,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,4,56250.0,0.3487784553411752,0.04182547067400242,13,0.3077 0.3667 0.1837 0.4727 0.0400 0.2500 0.2586 0.2963 0.3774 0.6200 0.5106 0.4286 0.4219,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,5,68750.0,0.3978061613401818,0.03768759810716067,13,0.5000 0.6667 0.3333 0.2340 0.3810 0.4000 0.3729 0.2581 0.3455 0.5625 0.2500 0.3051 0.5625,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,6,81250.0,0.44323781391523454,0.04827479507221995,13,0.5088 0.7903 0.2879 0.6111 0.3051 0.2407 0.4211 0.4110 0.2745 0.6892 0.3148 0.3559 0.5517,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,7,93750.0,0.4692886698848787,0.04846649439196971,13,0.6377 0.8983 0.5660 0.4561 0.2800 0.5085 0.2571 0.4000 0.3462 0.5970 0.4242 0.3333 0.3962,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,8,106250.0,0.475763507636196,0.060626297840632525,13,0.4923 0.8571 0.4833 0.6000 0.1667 0.4833 0.3968 0.6667 0.6786 0.3438 0.3818 0.5968 0.0377,900 901 902 903 904 905 906 907 908 909 910 911 912
e2e,human,picked,9,118750.0,0.5544670179356257,0.06354490242742707,13,0.7671 0.8909 0.3774 0.2340 0.3673 0.7903 0.2540 0.8676 0.6349 0.6324 0.4667 0.5660 0.3594,900 901 902 903 904 905 906 907 908 909 910 911 912
