# RAW per-seed ignition steps. steady_state = TAIL AVERAGE (mean of the final quarter of that seed's bins),
# NOT a converged value: for the end-to-end runs that quarter is still improving. A registered comparison
# should use a fixed performance threshold with an explicit persistence rule (independent review 2026-09-08).
# Curves are ONLINE TRAINING ROLLOUTS (see README): these steps describe learning speed during training,
# not the evaluation protocol. Keep the raw columns; do not collapse to a single threshold in the source.
family,arm,stage,seed,steady_state,peak,final,n_bins,bin_width_steps,step_to_25%_of_steady,step_to_50%_of_steady,step_to_75%_of_steady,step_to_90%_of_steady,step_to_abs_0.20
e2e,human,contact,0,0.5273,0.6197,0.4878,38,50000,974996,974996,1174995,1224995,974996
e2e,human,contact,1,0.8287,0.9318,0.8519,38,50000,474998,724997,774997,824997,474998
e2e,human,contact,2,0.6085,0.7358,0.5890,38,50000,824997,974996,1024996,1024996,824997
e2e,human,contact,3,0.6715,0.8235,0.6815,38,50000,874996,1124996,1324995,1624994,1124996
e2e,human,contact,4,0.7924,0.9296,0.4000,38,50000,674997,724997,874996,924996,674997
e2e,human,contact,5,0.5684,0.6533,0.6146,38,50000,824997,824997,1174995,1224995,824997
e2e,human,contact,6,0.6374,0.7091,0.6186,38,50000,874996,924996,1074996,1324995,874996
e2e,human,contact,7,0.7494,0.8238,0.7439,38,50000,674997,724997,724997,824997,674997
e2e,human,nested_proxy,0,0.3087,0.3820,0.3049,38,50000,1324995,1374994,1524994,1524994,1524994
e2e,human,nested_proxy,1,0.4006,0.6250,0.4444,38,50000,674997,724997,824997,824997,724997
e2e,human,nested_proxy,2,0.2462,0.5143,0.3288,38,50000,1074996,1074996,1224995,1224995,1224995
e2e,human,nested_proxy,3,0.4400,0.6278,0.4000,38,50000,1174995,1274995,1324995,1424994,1174995
e2e,human,nested_proxy,4,0.2806,0.5565,0.2000,38,50000,674997,724997,724997,724997,724997
e2e,human,nested_proxy,5,0.2887,0.3867,0.3646,38,50000,824997,824997,974996,974996,974996
e2e,human,nested_proxy,6,0.4102,0.4906,0.3299,38,50000,974996,1074996,1074996,1374994,1074996
e2e,human,nested_proxy,7,0.4759,0.6810,0.3780,38,50000,774997,774997,1124996,1124996,774997
e2e,human,picked,0,0.6728,0.9815,0.6098,38,50000,424998,674997,774997,774997,574998
e2e,human,picked,1,0.9192,0.9775,0.9136,38,50000,424998,424998,574998,724997,424998
e2e,human,picked,2,0.8075,0.9429,0.8493,38,50000,324999,474998,624998,724997,324999
e2e,human,picked,3,0.8554,0.9542,0.8889,38,50000,524998,624998,724997,774997,424998
e2e,human,picked,4,0.8772,0.9753,0.5500,38,50000,424998,424998,624998,624998,424998
e2e,human,picked,5,0.7012,0.8364,0.7812,38,50000,424998,624998,724997,774997,424998
e2e,human,picked,6,0.8318,0.8762,0.8351,38,50000,424998,774997,774997,924996,424998
e2e,human,picked,7,0.8971,0.9623,0.8415,38,50000,324999,474998,624998,674997,324999
e2e,machine,contact,0,0.4879,0.6456,0.6456,38,50000,974996,1124996,1274995,1774993,1124996
e2e,machine,contact,1,0.6218,0.8101,0.5800,38,50000,824997,824997,924996,1074996,824997
e2e,machine,contact,2,0.6899,0.8220,0.5278,38,50000,724997,924996,1074996,1224995,874996
e2e,machine,contact,3,0.3683,0.4400,0.3671,38,50000,874996,1174995,1574994,1574994,1174995
e2e,machine,contact,4,0.5928,0.7847,0.7847,38,50000,924996,974996,974996,1024996,924996
e2e,machine,contact,5,0.5950,0.7253,0.6818,38,50000,974996,1024996,1224995,1224995,974996
e2e,machine,contact,6,0.6506,0.8020,0.8020,38,50000,1074996,1124996,1224995,1274995,1124996
e2e,machine,contact,7,0.6252,0.7333,0.5479,38,50000,924996,1024996,1074996,1124996,924996
e2e,machine,nested_proxy,0,0.2159,0.2703,0.2658,38,50000,1074996,1274995,1524994,1524994,1524994
e2e,machine,nested_proxy,1,0.1966,0.4130,0.0800,38,50000,924996,924996,1124996,1124996,1124996
e2e,machine,nested_proxy,2,0.3743,0.5189,0.2778,38,50000,974996,1124996,1324995,1324995,1124996
e2e,machine,nested_proxy,3,0.2343,0.3067,0.2405,38,50000,1324995,1324995,1574994,1574994,1574994
e2e,machine,nested_proxy,4,0.3513,0.5486,0.5486,38,50000,1174995,1274995,1274995,1274995,1274995
e2e,machine,nested_proxy,5,0.3163,0.5000,0.3068,38,50000,1074996,1174995,1224995,1224995,1224995
e2e,machine,nested_proxy,6,0.4248,0.5842,0.5842,38,50000,1224995,1224995,1274995,1274995,1224995
e2e,machine,nested_proxy,7,0.2417,0.4405,0.2466,38,50000,1124996,1124996,1124996,1124996,1124996
e2e,machine,picked,0,0.6832,0.7656,0.7595,38,50000,224999,824997,974996,974996,624998
e2e,machine,picked,1,0.7729,0.9211,0.7600,38,50000,424998,624998,724997,774997,424998
e2e,machine,picked,2,0.8413,0.9157,0.6944,38,50000,474998,724997,924996,924996,474998
e2e,machine,picked,3,0.6848,0.7917,0.6835,38,50000,724997,774997,974996,1124996,774997
e2e,machine,picked,4,0.8090,0.9692,0.9236,38,50000,524998,774997,774997,924996,524998
e2e,machine,picked,5,0.7321,0.8791,0.8295,38,50000,674997,774997,974996,1224995,674997
e2e,machine,picked,6,0.8058,0.9070,0.8614,38,50000,674997,774997,974996,1024996,674997
e2e,machine,picked,7,0.7826,0.8636,0.7534,38,50000,424998,474998,724997,1074996,424998
pick,human,picked,0,0.9266,0.9683,0.9430,38,25000,137500,187499,262499,262499,137500
pick,human,picked,1,0.9242,0.9682,0.8462,38,25000,87500,187499,237499,262499,87500
pick,human,picked,2,0.9350,0.9674,0.9305,38,25000,162500,212499,287499,287499,162500
pick,human,picked,3,0.9062,0.9595,0.8670,38,25000,162500,237499,287499,362499,162500
pick,human,picked,4,0.9306,0.9731,0.9441,38,25000,162500,162500,262499,337499,162500
pick,human,picked,5,0.9289,0.9667,0.9614,38,25000,212499,237499,287499,312499,212499
pick,human,picked,6,0.9255,0.9530,0.9530,38,25000,212499,237499,337499,337499,187499
pick,human,picked,7,0.9388,0.9680,0.9188,38,25000,137500,187499,237499,287499,137500
pick,machine,picked,0,0.9389,0.9756,0.9531,39,25000,162500,162500,262499,287499,112500
pick,machine,picked,1,0.9352,0.9596,0.9414,39,25000,187499,237499,337499,387499,187499
pick,machine,picked,2,0.9361,0.9631,0.9430,39,25000,187499,187499,287499,412499,187499
pick,machine,picked,3,0.9008,0.9533,0.9533,39,25000,162500,212499,337499,387499,162500
pick,machine,picked,4,0.9334,0.9648,0.9481,39,25000,137500,187499,212499,237499,137500
pick,machine,picked,5,0.9345,0.9565,0.9515,39,25000,137500,162500,212499,287499,137500
pick,machine,picked,6,0.9409,0.9691,0.9560,39,25000,187499,287499,337499,362499,87500
pick,machine,picked,7,0.9177,0.9448,0.9408,39,25000,137500,187499,287499,362499,137500
place,human,contact,0,0.0009,0.1216,0.0015,40,25000,37500,37500,37500,37500,
place,human,contact,1,0.0014,0.2475,0.0000,40,25000,37500,37500,37500,37500,87500
place,human,contact,2,0.0014,0.4149,0.0000,40,25000,62500,62500,62500,62500,87500
place,human,contact,3,0.0013,0.3784,0.0012,40,25000,62500,62500,62500,62500,112500
place,human,contact,4,0.0009,0.3646,0.0000,40,25000,37500,37500,37500,37500,87500
place,human,contact,5,0.0007,0.1081,0.0000,40,25000,37500,37500,37500,37500,
place,human,contact,6,0.0025,0.3523,0.0000,40,25000,37500,37500,37500,37500,87500
place,human,contact,7,0.0012,0.1458,0.0013,40,25000,37500,37500,37500,37500,
place,human,placed_v2,0,0.9900,0.9986,0.9863,40,25000,87500,87500,112500,237500,62500
place,human,placed_v2,1,0.9916,0.9988,0.9964,40,25000,62500,87500,112500,212500,62500
place,human,placed_v2,2,0.9865,0.9956,0.9946,40,25000,87500,87500,137500,187500,87500
place,human,placed_v2,3,0.9915,0.9975,0.9895,40,25000,87500,112500,137500,237500,87500
place,human,placed_v2,4,0.9904,0.9962,0.9889,40,25000,87500,87500,137500,187500,87500
place,human,placed_v2,5,0.9892,0.9959,0.9916,40,25000,87500,87500,137500,187500,62500
place,human,placed_v2,6,0.9928,0.9987,0.9872,40,25000,87500,87500,112500,162500,87500
place,human,placed_v2,7,0.9865,0.9921,0.9921,40,25000,62500,112500,137500,187500,62500
place,machine,contact,0,0.0017,0.0882,0.0000,40,25000,37500,37500,37500,37500,
place,machine,contact,1,0.0085,0.4227,0.0041,40,25000,37500,37500,37500,37500,87500
place,machine,contact,2,0.0010,0.1573,0.0015,40,25000,37500,37500,37500,37500,
place,machine,contact,3,0.0009,0.0638,0.0000,40,25000,37500,37500,37500,37500,
place,machine,contact,4,0.0012,0.2011,0.0000,40,25000,62500,62500,62500,62500,212500
place,machine,contact,5,0.0108,0.1889,0.0221,40,25000,37500,37500,37500,37500,
place,machine,contact,6,0.0041,0.1923,0.0052,40,25000,37500,37500,37500,37500,
place,machine,contact,7,0.0056,0.1048,0.0111,40,25000,37500,37500,37500,37500,
place,machine,placed_v2,0,0.9825,0.9932,0.9871,40,25000,87500,87500,112500,212500,87500
place,machine,placed_v2,1,0.9773,0.9946,0.9946,40,25000,87500,112500,137500,187500,87500
place,machine,placed_v2,2,0.9816,0.9908,0.9847,40,25000,112500,137500,212500,237500,112500
place,machine,placed_v2,3,0.9832,0.9913,0.9891,40,25000,87500,112500,137500,162500,87500
place,machine,placed_v2,4,0.9788,0.9911,0.9845,40,25000,87500,187500,187500,262500,62500
place,machine,placed_v2,5,0.9753,0.9858,0.9779,40,25000,87500,112500,162500,237500,87500
place,machine,placed_v2,6,0.9832,0.9960,0.9856,40,25000,87500,87500,137500,212500,87500
place,machine,placed_v2,7,0.9870,0.9929,0.9889,40,25000,87500,112500,137500,212500,62500
slide,human,contact,0,0.9941,0.9994,0.9946,40,25000,12500,37500,87500,112500,12500
slide,human,contact,1,0.9969,0.9984,0.9984,40,25000,12500,37500,87500,162500,12500
slide,human,contact,2,0.9961,0.9989,0.9989,40,25000,37500,37500,87500,162500,12500
slide,human,contact,3,0.9978,1.0000,0.9984,40,25000,37500,37500,62500,137500,37500
slide,human,contact,4,0.9976,0.9995,0.9990,40,25000,12500,37500,62500,137500,12500
slide,human,contact,5,0.9928,0.9975,0.9948,40,25000,12500,37500,87500,187500,12500
slide,human,contact,6,0.9957,0.9989,0.9989,40,25000,12500,37500,62500,212500,12500
slide,human,contact,7,0.9953,0.9978,0.9944,40,25000,12500,37500,62500,112500,12500
slide,human,task_success,0,0.9941,0.9994,0.9946,40,25000,12500,37500,87500,112500,12500
slide,human,task_success,1,0.9969,0.9984,0.9984,40,25000,12500,37500,87500,162500,12500
slide,human,task_success,2,0.9961,0.9989,0.9989,40,25000,37500,37500,87500,162500,12500
slide,human,task_success,3,0.9978,1.0000,0.9984,40,25000,37500,37500,62500,137500,37500
slide,human,task_success,4,0.9976,0.9995,0.9990,40,25000,12500,37500,62500,137500,12500
slide,human,task_success,5,0.9928,0.9975,0.9948,40,25000,12500,37500,87500,187500,12500
slide,human,task_success,6,0.9957,0.9989,0.9989,40,25000,12500,37500,62500,212500,12500
slide,human,task_success,7,0.9953,0.9978,0.9944,40,25000,12500,37500,62500,112500,12500
slide,machine,contact,0,0.9968,0.9986,0.9947,40,25000,12500,37500,37500,112500,12500
slide,machine,contact,1,0.9939,0.9958,0.9948,40,25000,12500,37500,37500,162500,12500
slide,machine,contact,2,0.9956,0.9979,0.9957,40,25000,12500,37500,137500,237500,12500
slide,machine,contact,3,0.9886,0.9956,0.9910,40,25000,12500,37500,62500,212500,12500
slide,machine,contact,4,0.9938,0.9966,0.9932,40,25000,37500,37500,87500,187500,37500
slide,machine,contact,5,0.9952,0.9975,0.9968,40,25000,12500,37500,37500,137500,12500
slide,machine,contact,6,0.9972,0.9989,0.9978,40,25000,37500,37500,62500,162500,37500
slide,machine,contact,7,0.9974,0.9985,0.9975,40,25000,12500,37500,37500,87500,12500
slide,machine,task_success,0,0.9968,0.9986,0.9947,40,25000,12500,37500,37500,112500,12500
slide,machine,task_success,1,0.9939,0.9958,0.9948,40,25000,12500,37500,37500,162500,12500
slide,machine,task_success,2,0.9956,0.9979,0.9957,40,25000,12500,37500,137500,237500,12500
slide,machine,task_success,3,0.9886,0.9956,0.9910,40,25000,12500,37500,62500,212500,12500
slide,machine,task_success,4,0.9938,0.9966,0.9932,40,25000,37500,37500,87500,187500,37500
slide,machine,task_success,5,0.9952,0.9975,0.9968,40,25000,12500,37500,37500,137500,12500
slide,machine,task_success,6,0.9972,0.9989,0.9978,40,25000,37500,37500,62500,162500,37500
slide,machine,task_success,7,0.9974,0.9985,0.9975,40,25000,12500,37500,37500,87500,12500
