ladder,arm,seed,stage,bin_center_step,rate,n_episodes_in_bin
nested_ramp,human,950,picked,50000,0.0430,93
nested_ramp,human,950,picked,150000,0.0481,104
nested_ramp,human,950,picked,250000,0.0804,112
nested_ramp,human,950,picked,350000,0.1696,112
nested_ramp,human,950,picked,450000,0.1429,126
nested_ramp,human,950,picked,550000,0.3582,134
nested_ramp,human,950,picked,650000,0.7277,202
nested_ramp,human,950,picked,750000,0.7791,172
nested_ramp,human,950,picked,850000,0.8216,185
nested_ramp,human,950,picked,950000,0.8636,176
nested_ramp,human,950,picked,1050000,0.6927,179
nested_ramp,human,950,picked,1150000,0.8242,182
nested_ramp,human,950,picked,1250000,0.9126,206
nested_ramp,human,950,picked,1350000,0.8542,192
nested_ramp,human,950,picked,1450000,0.9420,224
nested_ramp,human,950,picked,1550000,0.8836,292
nested_ramp,human,950,picked,1650000,0.8803,309
nested_ramp,human,950,picked,1750000,0.8624,298
nested_ramp,human,950,picked,1850000,0.8288,292
nested_ramp,human,950,picked,1950000,0.9146,281
nested_ramp,human,950,picked,2050000,,0
nested_ramp,human,950,picked,2150000,,0
nested_ramp,human,950,picked,2250000,,0
nested_ramp,human,950,picked,2350000,,0
nested_ramp,human,950,picked,2450000,,0
nested_ramp,human,950,picked,2550000,,0
nested_ramp,human,950,picked,2650000,,0
nested_ramp,human,950,picked,2750000,,0
nested_ramp,human,950,picked,2850000,,0
nested_ramp,human,950,picked,2950000,,0
nested_ramp,human,950,picked,3050000,,0
nested_ramp,human,950,picked,3150000,,0
nested_ramp,human,950,picked,3250000,,0
nested_ramp,human,950,picked,3350000,,0
nested_ramp,human,950,picked,3450000,,0
nested_ramp,human,950,picked,3550000,,0
nested_ramp,human,950,picked,3650000,,0
nested_ramp,human,950,picked,3750000,,0
nested_ramp,human,950,picked,3850000,,0
nested_ramp,human,950,picked,3950000,,0
nested_ramp,human,951,picked,50000,0.0000,96
nested_ramp,human,951,picked,150000,0.1031,97
nested_ramp,human,951,picked,250000,0.1667,108
nested_ramp,human,951,picked,350000,0.1743,109
nested_ramp,human,951,picked,450000,0.0660,106
nested_ramp,human,951,picked,550000,0.2602,123
nested_ramp,human,951,picked,650000,0.4286,133
nested_ramp,human,951,picked,750000,0.5731,171
nested_ramp,human,951,picked,850000,0.6158,190
nested_ramp,human,951,picked,950000,0.7725,189
nested_ramp,human,951,picked,1050000,0.8415,183
nested_ramp,human,951,picked,1150000,0.8325,197
nested_ramp,human,951,picked,1250000,0.7823,248
nested_ramp,human,951,picked,1350000,0.8772,171
nested_ramp,human,951,picked,1450000,0.8658,231
nested_ramp,human,951,picked,1550000,0.8182,198
