ladder,arm,seed,stage,bin_center_step,rate,n_episodes_in_bin
staged,human,958,picked,6250,0.0000,48
staged,human,958,picked,18750,0.1194,67
staged,human,958,picked,31250,0.1636,55
staged,human,958,picked,43750,0.4783,69
staged,human,958,picked,56250,0.5938,64
staged,human,958,picked,68750,0.8136,59
staged,human,958,picked,81250,0.6111,54
staged,human,958,picked,93750,0.4340,53
staged,human,958,picked,106250,,0
staged,human,958,picked,118750,,0
staged,human,958,picked,131250,,0
staged,human,958,picked,143750,,0
staged,human,958,picked,156250,,0
staged,human,958,picked,168750,,0
staged,human,958,picked,181250,,0
staged,human,958,picked,193750,,0
staged,human,958,picked,206250,,0
staged,human,958,picked,218750,,0
staged,human,958,picked,231250,,0
staged,human,958,picked,243750,,0
staged,human,958,picked,256250,,0
staged,human,958,picked,268750,,0
staged,human,958,picked,281250,,0
staged,human,958,picked,293750,,0
staged,human,958,picked,306250,,0
staged,human,958,picked,318750,,0
staged,human,958,picked,331250,,0
staged,human,958,picked,343750,,0
staged,human,958,picked,356250,,0
staged,human,958,picked,368750,,0
staged,human,958,picked,381250,,0
staged,human,958,picked,393750,,0
staged,human,958,picked,406250,,0
staged,human,958,picked,418750,,0
staged,human,958,picked,431250,,0
staged,human,958,picked,443750,,0
staged,human,958,picked,456250,,0
staged,human,958,picked,468750,,0
staged,human,958,picked,481250,,0
staged,human,958,picked,493750,,0
staged,human,959,picked,6250,0.0000,46
staged,human,959,picked,18750,0.2037,54
staged,human,959,picked,31250,0.0690,58
staged,human,959,picked,43750,0.1000,60
staged,human,959,picked,56250,0.4304,79
staged,human,959,picked,68750,0.7763,76
staged,human,959,picked,81250,0.7838,74
staged,human,959,picked,93750,0.7826,69
staged,human,959,picked,106250,,0
staged,human,959,picked,118750,,0
staged,human,959,picked,131250,,0
staged,human,959,picked,143750,,0
staged,human,959,picked,156250,,0
staged,human,959,picked,168750,,0
staged,human,959,picked,181250,,0
staged,human,959,picked,193750,,0
staged,human,959,picked,206250,,0
staged,human,959,picked,218750,,0
staged,human,959,picked,231250,,0
staged,human,959,picked,243750,,0
staged,human,959,picked,256250,,0
staged,human,959,picked,268750,,0
staged,human,959,picked,281250,,0
staged,human,959,picked,293750,,0
staged,human,959,picked,306250,,0
staged,human,959,picked,318750,,0
staged,human,959,picked,331250,,0
staged,human,959,picked,343750,,0
staged,human,959,picked,356250,,0
staged,human,959,picked,368750,,0
staged,human,959,picked,381250,,0
staged,human,959,picked,393750,,0
staged,human,959,picked,406250,,0
staged,human,959,picked,418750,,0
staged,human,959,picked,431250,,0
staged,human,959,picked,443750,,0
staged,human,959,picked,456250,,0
staged,human,959,picked,468750,,0
staged,human,959,picked,481250,,0
staged,human,959,picked,493750,,0
staged,machine,978,picked,6250,0.0000,50
staged,machine,978,picked,18750,0.0308,65
staged,machine,978,picked,31250,0.1739,69
staged,machine,978,picked,43750,0.2419,62
staged,machine,978,picked,56250,0.1111,63
staged,machine,978,picked,68750,0.1803,61
staged,machine,978,picked,81250,0.1207,58
staged,machine,978,picked,93750,0.2000,70
staged,machine,978,picked,106250,,0
staged,machine,978,picked,118750,,0
staged,machine,978,picked,131250,,0
staged,machine,978,picked,143750,,0
staged,machine,978,picked,156250,,0
staged,machine,978,picked,168750,,0
staged,machine,978,picked,181250,,0
staged,machine,978,picked,193750,,0
staged,machine,978,picked,206250,,0
staged,machine,978,picked,218750,,0
staged,machine,978,picked,231250,,0
staged,machine,978,picked,243750,,0
staged,machine,978,picked,256250,,0
staged,machine,978,picked,268750,,0
staged,machine,978,picked,281250,,0
staged,machine,978,picked,293750,,0
staged,machine,978,picked,306250,,0
staged,machine,978,picked,318750,,0
staged,machine,978,picked,331250,,0
staged,machine,978,picked,343750,,0
staged,machine,978,picked,356250,,0
staged,machine,978,picked,368750,,0
staged,machine,978,picked,381250,,0
staged,machine,978,picked,393750,,0
staged,machine,978,picked,406250,,0
staged,machine,978,picked,418750,,0
staged,machine,978,picked,431250,,0
staged,machine,978,picked,443750,,0
staged,machine,978,picked,456250,,0
staged,machine,978,picked,468750,,0
staged,machine,978,picked,481250,,0
staged,machine,978,picked,493750,,0
staged,machine,979,picked,6250,0.0000,42
staged,machine,979,picked,18750,0.0333,60
staged,machine,979,picked,31250,0.1667,60
staged,machine,979,picked,43750,0.3571,70
staged,machine,979,picked,56250,0.4133,75
staged,machine,979,picked,68750,0.1948,77
staged,machine,979,picked,81250,0.3210,81
staged,machine,979,picked,93750,0.5256,78
staged,machine,979,picked,106250,,0
staged,machine,979,picked,118750,,0
staged,machine,979,picked,131250,,0
staged,machine,979,picked,143750,,0
staged,machine,979,picked,156250,,0
staged,machine,979,picked,168750,,0
staged,machine,979,picked,181250,,0
staged,machine,979,picked,193750,,0
staged,machine,979,picked,206250,,0
staged,machine,979,picked,218750,,0
staged,machine,979,picked,231250,,0
staged,machine,979,picked,243750,,0
staged,machine,979,picked,256250,,0
staged,machine,979,picked,268750,,0
staged,machine,979,picked,281250,,0
staged,machine,979,picked,293750,,0
staged,machine,979,picked,306250,,0
staged,machine,979,picked,318750,,0
staged,machine,979,picked,331250,,0
staged,machine,979,picked,343750,,0
staged,machine,979,picked,356250,,0
staged,machine,979,picked,368750,,0
staged,machine,979,picked,381250,,0
staged,machine,979,picked,393750,,0
staged,machine,979,picked,406250,,0
staged,machine,979,picked,418750,,0
staged,machine,979,picked,431250,,0
staged,machine,979,picked,443750,,0
staged,machine,979,picked,456250,,0
staged,machine,979,picked,468750,,0
staged,machine,979,picked,481250,,0
staged,machine,979,picked,493750,,0
staged,human,958,placed_v2,6250,0.0000,48
staged,human,958,placed_v2,18750,0.0000,67
staged,human,958,placed_v2,31250,0.0364,55
staged,human,958,placed_v2,43750,0.0580,69
staged,human,958,placed_v2,56250,0.1875,64
staged,human,958,placed_v2,68750,0.5085,59
staged,human,958,placed_v2,81250,0.2778,54
staged,human,958,placed_v2,93750,0.0377,53
staged,human,958,placed_v2,106250,,0
staged,human,958,placed_v2,118750,,0
staged,human,958,placed_v2,131250,,0
staged,human,958,placed_v2,143750,,0
staged,human,958,placed_v2,156250,,0
staged,human,958,placed_v2,168750,,0
staged,human,958,placed_v2,181250,,0
staged,human,958,placed_v2,193750,,0
staged,human,958,placed_v2,206250,,0
staged,human,958,placed_v2,218750,,0
staged,human,958,placed_v2,231250,,0
staged,human,958,placed_v2,243750,,0
staged,human,958,placed_v2,256250,,0
staged,human,958,placed_v2,268750,,0
staged,human,958,placed_v2,281250,,0
staged,human,958,placed_v2,293750,,0
staged,human,958,placed_v2,306250,,0
staged,human,958,placed_v2,318750,,0
staged,human,958,placed_v2,331250,,0
staged,human,958,placed_v2,343750,,0
staged,human,958,placed_v2,356250,,0
staged,human,958,placed_v2,368750,,0
staged,human,958,placed_v2,381250,,0
staged,human,958,placed_v2,393750,,0
staged,human,958,placed_v2,406250,,0
staged,human,958,placed_v2,418750,,0
staged,human,958,placed_v2,431250,,0
staged,human,958,placed_v2,443750,,0
staged,human,958,placed_v2,456250,,0
staged,human,958,placed_v2,468750,,0
staged,human,958,placed_v2,481250,,0
staged,human,958,placed_v2,493750,,0
staged,human,959,placed_v2,6250,0.0000,46
staged,human,959,placed_v2,18750,0.0185,54
staged,human,959,placed_v2,31250,0.0000,58
staged,human,959,placed_v2,43750,0.0000,60
staged,human,959,placed_v2,56250,0.0380,79
staged,human,959,placed_v2,68750,0.2105,76
staged,human,959,placed_v2,81250,0.3514,74
staged,human,959,placed_v2,93750,0.3478,69
staged,human,959,placed_v2,106250,,0
staged,human,959,placed_v2,118750,,0
staged,human,959,placed_v2,131250,,0
staged,human,959,placed_v2,143750,,0
staged,human,959,placed_v2,156250,,0
staged,human,959,placed_v2,168750,,0
staged,human,959,placed_v2,181250,,0
staged,human,959,placed_v2,193750,,0
staged,human,959,placed_v2,206250,,0
staged,human,959,placed_v2,218750,,0
staged,human,959,placed_v2,231250,,0
staged,human,959,placed_v2,243750,,0
staged,human,959,placed_v2,256250,,0
staged,human,959,placed_v2,268750,,0
staged,human,959,placed_v2,281250,,0
staged,human,959,placed_v2,293750,,0
staged,human,959,placed_v2,306250,,0
staged,human,959,placed_v2,318750,,0
staged,human,959,placed_v2,331250,,0
staged,human,959,placed_v2,343750,,0
staged,human,959,placed_v2,356250,,0
staged,human,959,placed_v2,368750,,0
staged,human,959,placed_v2,381250,,0
staged,human,959,placed_v2,393750,,0
staged,human,959,placed_v2,406250,,0
staged,human,959,placed_v2,418750,,0
staged,human,959,placed_v2,431250,,0
staged,human,959,placed_v2,443750,,0
staged,human,959,placed_v2,456250,,0
staged,human,959,placed_v2,468750,,0
staged,human,959,placed_v2,481250,,0
staged,human,959,placed_v2,493750,,0
staged,machine,978,placed_v2,6250,0.0000,50
staged,machine,978,placed_v2,18750,0.0000,65
staged,machine,978,placed_v2,31250,0.0000,69
staged,machine,978,placed_v2,43750,0.0323,62
staged,machine,978,placed_v2,56250,0.0000,63
staged,machine,978,placed_v2,68750,0.0000,61
staged,machine,978,placed_v2,81250,0.0000,58
staged,machine,978,placed_v2,93750,0.0143,70
staged,machine,978,placed_v2,106250,,0
staged,machine,978,placed_v2,118750,,0
staged,machine,978,placed_v2,131250,,0
staged,machine,978,placed_v2,143750,,0
staged,machine,978,placed_v2,156250,,0
staged,machine,978,placed_v2,168750,,0
staged,machine,978,placed_v2,181250,,0
staged,machine,978,placed_v2,193750,,0
staged,machine,978,placed_v2,206250,,0
staged,machine,978,placed_v2,218750,,0
staged,machine,978,placed_v2,231250,,0
staged,machine,978,placed_v2,243750,,0
staged,machine,978,placed_v2,256250,,0
staged,machine,978,placed_v2,268750,,0
staged,machine,978,placed_v2,281250,,0
staged,machine,978,placed_v2,293750,,0
staged,machine,978,placed_v2,306250,,0
staged,machine,978,placed_v2,318750,,0
staged,machine,978,placed_v2,331250,,0
staged,machine,978,placed_v2,343750,,0
staged,machine,978,placed_v2,356250,,0
staged,machine,978,placed_v2,368750,,0
staged,machine,978,placed_v2,381250,,0
staged,machine,978,placed_v2,393750,,0
staged,machine,978,placed_v2,406250,,0
staged,machine,978,placed_v2,418750,,0
