learner	set	seed	ladder	budget	n_episodes	last_step	source
r2dreamer	dDPfull_first_rnrh	970	nested_ramp	4000000	4176	1999929	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s970
r2dreamer	dDPfull_first_rnrh	971	nested_ramp	4000000	3917	1999956	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s971
r2dreamer	dDPfull_first_rnrh	972	nested_ramp	4000000	8185	4000009	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s972
r2dreamer	dDPfull_first_rnrh	973	nested_ramp	4000000	8286	3999609	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s973
r2dreamer	dDPfull_first_rnrh	974	nested_ramp	4000000	2780	1620933	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s974
r2dreamer	dDPfull_first_rnrh	979	nested_ramp	4000000	2617	1626096	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s979
r2dreamer	dDPfull_first_rnrh	980	nested_ramp	4000000	2697	1865248	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s980
r2dreamer	dDPfull_first_rnrh	981	nested_ramp	4000000	3179	1848947	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnrh_s981
r2dreamer	dDPfull_first_rns10h	977	nested_sparse10	4000000	2945	2815736	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rns10h_s977
r2dreamer	dDPfull_first_rns10h	978	nested_sparse10	4000000	2819	2837796	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rns10h_s978
r2dreamer	dDPfull_first_rnsh	975	nested_sparse	4000000	4064	3998929	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnsh_s975
r2dreamer	dDPfull_first_rnsh	976	nested_sparse	4000000	3973	3931560	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnsh_s976
r2dreamer	dDPfull_first_rnsh	977	nested_sparse	4000000	4270	3997573	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnsh_s977
r2dreamer	dDPfull_first_rnsh	978	nested_sparse	4000000	4389	3999693	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dDPfull_first_rnsh_s978
r2dreamer	dHfull_all_rnrh	950	nested_ramp	4000000	3871	1999824	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s950
r2dreamer	dHfull_all_rnrh	951	nested_ramp	4000000	3698	1999943	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s951
r2dreamer	dHfull_all_rnrh	952	nested_ramp	4000000	9016	3999733	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s952
r2dreamer	dHfull_all_rnrh	953	nested_ramp	4000000	8343	3999908	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s953
r2dreamer	dHfull_all_rnrh	954	nested_ramp	4000000	2652	1654351	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s954
r2dreamer	dHfull_all_rnrh	959	nested_ramp	4000000	2688	1649143	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s959
r2dreamer	dHfull_all_rnrh	960	nested_ramp	4000000	2977	1703285	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s960
r2dreamer	dHfull_all_rnrh	961	nested_ramp	4000000	2524	1709604	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnrh_s961
r2dreamer	dHfull_all_rns10h	957	nested_sparse10	4000000	3196	3155032	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rns10h_s957
r2dreamer	dHfull_all_rns10h	958	nested_sparse10	4000000	3145	3153098	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rns10h_s958
r2dreamer	dHfull_all_rnsh	955	nested_sparse	4000000	9595	4000011	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnsh_s955
r2dreamer	dHfull_all_rnsh	956	nested_sparse	4000000	4428	3999148	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnsh_s956
r2dreamer	dHfull_all_rnsh	957	nested_sparse	4000000	9147	4000004	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnsh_s957
r2dreamer	dHfull_all_rnsh	958	nested_sparse	4000000	6376	3999972	/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/full_r2d_state_dHfull_all_rnsh_s958
rlpd	dDPfull_first_rnrh	970	nested_ramp	250000	1322	249885	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s970
rlpd	dDPfull_first_rnrh	971	nested_ramp	250000	1216	249974	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s971
rlpd	dDPfull_first_rnrh	972	nested_ramp	500000	2568	499948	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s972
rlpd	dDPfull_first_rnrh	973	nested_ramp	500000	2743	499998	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s973
rlpd	dDPfull_first_rnsh	975	nested_sparse	250000	1207	249719	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s975
rlpd	dDPfull_first_rnsh	976	nested_sparse	250000	1186	249978	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s976
rlpd	dDPfull_first_rzh	978	staged	100000	498	99951	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s978
rlpd	dDPfull_first_rzh	979	staged	100000	543	99822	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dDPfirst_s979
rlpd	dHfull_all_rnrh	950	nested_ramp	250000	1265	249985	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s950
rlpd	dHfull_all_rnrh	951	nested_ramp	250000	1187	249960	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s951
rlpd	dHfull_all_rnrh	952	nested_ramp	500000	2411	499835	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s952
rlpd	dHfull_all_rnrh	953	nested_ramp	500000	2290	499876	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s953
rlpd	dHfull_all_rnsh	955	nested_sparse	250000	1199	249721	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s955
rlpd	dHfull_all_rnsh	956	nested_sparse	250000	1164	249725	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s956
rlpd	dHfull_all_rzh	958	staged	100000	469	99859	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s958
rlpd	dHfull_all_rzh	959	staged	100000	516	99766	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e/e2e_rlpd_dH_s959
rlpd	dDPfull_first_rnsh	977	nested_sparse	500000	2356	499829	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e_rev3/e2e_rlpd_dDPfirst_s977
rlpd	dDPfull_first_rnsh	978	nested_sparse	500000	2221	499951	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e_rev3/e2e_rlpd_dDPfirst_s978
rlpd	dHfull_all_rnsh	957	nested_sparse	500000	2365	499970	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e_rev3/e2e_rlpd_dH_s957
rlpd	dHfull_all_rnsh	958	nested_sparse	500000	2337	499718	/cluster/tufts/shortlab/jstale02/gp_ladderN/baselines/rl/checkpoints/e2e_rev3/e2e_rlpd_dH_s958
rlpd	dDPfull_first_rns10h	977	nested_sparse10	500000	2588	499731	/cluster/tufts/shortlab/jstale02/gp_ac/baselines/rl/checkpoints/e2e_ac/e2e_rlpd_dDPfirst_s977
rlpd	dDPfull_first_rns10h	978	nested_sparse10	500000	2427	499767	/cluster/tufts/shortlab/jstale02/gp_ac/baselines/rl/checkpoints/e2e_ac/e2e_rlpd_dDPfirst_s978
rlpd	dHfull_all_rns10h	957	nested_sparse10	500000	2297	499819	/cluster/tufts/shortlab/jstale02/gp_ac/baselines/rl/checkpoints/e2e_ac/e2e_rlpd_dH_s957
rlpd	dHfull_all_rns10h	958	nested_sparse10	500000	2292	499882	/cluster/tufts/shortlab/jstale02/gp_ac/baselines/rl/checkpoints/e2e_ac/e2e_rlpd_dH_s958
