step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
14402,0,0,0,0,0,0,0
14403,0,0,0,0,0,0,0
14404,0,0,0,0,0,0,0
14405,0,0,0,0,0,0,0
15072,0,0,0,0,0,0,1
16461,0,0,0,0,0,0,1
21594,0,0,0,0,0,0,0
21595,0,0,0,0,0,0,0
21596,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
22272,0,0,0,0,0,0,0
23661,0,0,0,0,0,0,0
28794,0,0,0,0,0,0,0
28795,0,0,0,0,0,0,0
28796,0,0,0,0,0,0,0
28797,0,0,0,0,0,0,0
29472,0,0,0,0,0,0,0
30861,0,0,0,0,0,0,0
35994,0,0,0,0,0,0,0
35995,0,0,0,0,0,0,0
35996,0,0,0,0,0,0,0
35997,0,0,0,0,0,0,0
36672,0,0,0,0,0,0,0
38061,0,0,0,0,0,0,0
43194,0,0,0,0,0,0,0
43195,0,0,0,0,0,0,0
43196,0,0,0,0,0,0,0
43197,0,0,0,0,0,0,0
43872,0,0,0,0,0,0,0
45261,0,0,0,0,0,0,0
50394,0,0,0,0,0,0,0
50395,0,0,0,0,0,0,0
50396,0,0,0,0,0,0,0
50397,0,0,0,0,0,0,0
51072,0,0,0,0,0,0,0
52461,0,0,0,0,0,0,0
57594,0,0,0,0,0,0,0
57595,0,0,0,0,0,0,0
57596,0,0,0,0,0,0,0
57597,0,0,0,0,0,0,0
58272,0,0,0,0,0,0,0
59661,0,0,0,0,0,0,0
64794,0,0,0,0,0,0,0
64795,0,0,0,0,0,0,0
64796,0,0,0,0,0,0,0
64797,0,0,0,0,0,0,0
65472,0,0,0,0,0,0,0
66861,0,0,0,0,0,0,0
71994,0,0,0,0,0,0,0
71995,0,0,0,0,0,0,0
71996,0,0,0,0,0,0,0
71997,0,0,0,0,0,0,0
72672,0,0,0,0,0,0,0
74061,0,0,0,0,0,0,0
79194,0,0,0,0,0,0,0
79195,0,0,0,0,0,0,0
79196,0,0,0,0,0,0,0
79197,0,0,0,0,0,0,0
79872,0,0,0,0,0,0,0
81261,0,0,0,0,0,0,0
85746,0,0,0,0,0,0,1
86391,0,0,0,0,0,0,0
86392,0,0,0,0,0,0,0
86393,0,0,0,0,0,0,0
87072,0,0,0,0,0,0,0
88461,0,0,0,0,0,0,0
90236,0,0,0,0,0,0,1
90519,0,0,0,0,0,0,1
92603,1,0,0,0,0,0,1
92934,0,0,0,0,0,0,0
93581,0,0,0,0,0,0,0
94268,0,0,0,0,0,0,0
95657,0,0,0,0,0,0,0
96280,0,0,0,0,0,0,1
99803,0,0,0,0,0,0,0
99847,0,0,0,0,0,0,1
100130,0,0,0,0,0,0,0
100777,0,0,0,0,0,0,0
100821,0,0,0,0,0,0,1
101460,0,0,0,0,0,0,0
102849,0,0,0,0,0,0,0
103472,0,0,0,0,0,0,0
107043,0,0,0,0,0,0,0
107326,0,0,0,0,0,0,0
108021,0,0,0,0,0,0,0
108660,0,0,0,0,0,0,0
110049,0,0,0,0,0,0,0
110672,0,0,0,0,0,0,0
114243,0,0,0,0,0,0,0
114526,0,0,0,0,0,0,0
115221,0,0,0,0,0,0,0
115860,0,0,0,0,0,0,0
117249,0,0,0,0,0,0,0
117872,0,0,0,0,0,0,0
121443,0,0,0,0,0,0,0
121726,0,0,0,0,0,0,0
122421,0,0,0,0,0,0,0
123060,0,0,0,0,0,0,0
124449,0,0,0,0,0,0,0
125072,0,0,0,0,0,0,0
128643,0,0,0,0,0,0,0
128926,0,0,0,0,0,0,0
129621,0,0,0,0,0,0,0
130260,0,0,0,0,0,0,0
131649,0,0,0,0,0,0,0
132272,0,0,0,0,0,0,0
135843,0,0,0,0,0,0,0
136126,0,0,0,0,0,0,0
136821,0,0,0,0,0,0,0
137460,0,0,0,0,0,0,0
137698,0,0,0,0,0,0,1
137743,0,0,0,0,0,0,1
138841,0,0,0,0,0,0,0
139464,0,0,0,0,0,0,0
144021,0,0,0,0,0,0,0
144660,0,0,0,0,0,0,0
144898,0,0,0,0,0,0,0
144943,0,0,0,0,0,0,0
146016,0,0,0,0,0,0,1
146037,0,0,0,0,0,0,0
146660,0,0,0,0,0,0,0
151217,0,0,0,0,0,0,0
