step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
7225,0,0,0,0,0,0,1
12671,0,0,0,0,0,0,1
14392,0,0,0,0,0,0,0
14394,0,0,0,0,0,0,0
14396,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14425,0,0,0,0,0,0,0
14737,0,0,0,0,0,0,1
19867,0,0,0,0,0,0,0
21588,0,0,0,0,0,0,0
21590,0,0,0,0,0,0,0
21592,0,0,0,0,0,0,0
21625,0,0,0,0,0,0,0
21937,0,0,0,0,0,0,0
27067,0,0,0,0,0,0,0
28788,0,0,0,0,0,0,0
28790,0,0,0,0,0,0,0
28792,0,0,0,0,0,0,0
28825,0,0,0,0,0,0,0
29137,0,0,0,0,0,0,0
34267,0,0,0,0,0,0,0
35988,0,0,0,0,0,0,0
35990,0,0,0,0,0,0,0
35992,0,0,0,0,0,0,0
36025,0,0,0,0,0,0,0
36337,0,0,0,0,0,0,0
37193,0,0,0,0,0,0,1
41463,0,0,0,0,0,0,0
43184,0,0,0,0,0,0,0
43186,0,0,0,0,0,0,0
43188,0,0,0,0,0,0,0
43537,0,0,0,0,0,0,0
44393,0,0,0,0,0,0,0
48663,0,0,0,0,0,0,0
50384,0,0,0,0,0,0,0
50386,0,0,0,0,0,0,0
50388,0,0,0,0,0,0,0
50737,0,0,0,0,0,0,0
51593,0,0,0,0,0,0,0
54013,0,0,0,0,0,0,1
55859,0,0,0,0,0,0,0
57580,0,0,0,0,0,0,0
57582,0,0,0,0,0,0,0
57584,0,0,0,0,0,0,0
57933,0,0,0,0,0,0,0
61213,0,0,0,0,0,0,0
63059,0,0,0,0,0,0,0
63535,0,0,0,0,0,0,1
64492,0,0,0,0,0,0,1
64772,0,0,0,0,0,0,0
64774,0,0,0,0,0,0,0
65129,0,0,0,0,0,0,0
68409,0,0,0,0,0,0,0
70735,0,0,0,0,0,0,0
71692,0,0,0,0,0,0,0
71972,0,0,0,0,0,0,0
71974,0,0,0,0,0,0,0
72329,0,0,0,0,0,0,0
75609,0,0,0,0,0,0,0
77935,0,0,0,0,0,0,0
78892,0,0,0,0,0,0,0
79172,0,0,0,0,0,0,0
79174,0,0,0,0,0,0,0
79529,0,0,0,0,0,0,0
82809,0,0,0,0,0,0,0
85135,0,0,0,0,0,0,0
86092,0,0,0,0,0,0,0
86372,0,0,0,0,0,0,0
86374,0,0,0,0,0,0,0
86729,0,0,0,0,0,0,0
90009,0,0,0,0,0,0,0
92309,0,0,0,0,0,0,1
92331,0,0,0,0,0,0,0
93288,0,0,0,0,0,0,0
93568,0,0,0,0,0,0,0
93570,0,0,0,0,0,0,0
93925,0,0,0,0,0,0,0
99509,0,0,0,0,0,0,0
99531,0,0,0,0,0,0,0
100488,0,0,0,0,0,0,0
100768,0,0,0,0,0,0,0
100770,0,0,0,0,0,0,0
101125,0,0,0,0,0,0,0
105509,0,0,0,0,0,0,1
106731,0,0,0,0,0,0,0
107688,0,0,0,0,0,0,0
107968,0,0,0,0,0,0,0
107970,0,0,0,0,0,0,0
108325,0,0,0,0,0,0,0
112709,0,0,0,0,0,0,0
113931,0,0,0,0,0,0,0
114285,0,0,0,0,0,0,1
114376,0,0,0,0,0,0,1
114880,0,0,0,0,0,0,0
115162,0,0,0,0,0,0,0
115521,0,0,0,0,0,0,0
119834,0,0,0,0,0,0,1
120023,0,0,0,0,0,0,1
120117,0,0,0,0,0,0,1
121477,0,0,0,0,0,0,0
121568,0,0,0,0,0,0,0
121902,1,0,0,0,0,0,1
122068,0,0,0,0,0,0,0
127223,0,0,0,0,0,0,0
127317,0,0,0,0,0,0,0
128677,0,0,0,0,0,0,0
128768,0,0,0,0,0,0,0
129102,0,0,0,0,0,0,0
129268,0,0,0,0,0,0,0
133029,0,0,0,0,0,0,1
134419,0,0,0,0,0,0,0
134513,0,0,0,0,0,0,0
135851,0,0,0,0,0,0,1
135964,0,0,0,0,0,0,0
136298,0,0,0,0,0,0,0
136464,0,0,0,0,0,0,0
138716,0,0,0,0,0,0,1
138948,0,0,0,0,0,0,1
140217,0,0,0,0,0,0,0
141705,0,0,0,0,0,0,0
143043,0,0,0,0,0,0,0
143494,0,0,0,0,0,0,0
145916,0,0,0,0,0,0,0
146148,0,0,0,0,0,0,0
