step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
267,0,0,0,0,0,0,1
1633,0,0,0,0,0,0,1
7192,0,0,0,0,0,0,0
7193,0,0,0,0,0,0,0
7194,0,0,0,0,0,0,0
7196,0,0,0,0,0,0,0
7467,0,0,0,0,0,0,0
8833,0,0,0,0,0,0,0
14392,0,0,0,0,0,0,0
14393,0,0,0,0,0,0,0
14394,0,0,0,0,0,0,0
14396,0,0,0,0,0,0,0
14667,0,0,0,0,0,0,0
14880,0,0,0,0,0,0,1
16029,0,0,0,0,0,0,0
16336,0,0,0,0,0,0,1
21584,0,0,0,0,0,0,0
21585,0,0,0,0,0,0,0
21586,0,0,0,0,0,0,0
21863,0,0,0,0,0,0,0
23229,0,0,0,0,0,0,0
23536,0,0,0,0,0,0,0
28784,0,0,0,0,0,0,0
28785,0,0,0,0,0,0,0
28786,0,0,0,0,0,0,0
29063,0,0,0,0,0,0,0
30429,0,0,0,0,0,0,0
30736,0,0,0,0,0,0,0
33781,0,0,0,0,0,0,1
34134,1,0,0,0,0,0,1
34778,0,0,0,0,0,0,1
35972,0,0,0,0,0,0,0
35973,0,0,0,0,0,0,0
36038,1,0,0,0,0,0,1
36251,0,0,0,0,0,0,0
37928,0,0,0,0,0,0,0
40973,0,0,0,0,0,0,0
43172,0,0,0,0,0,0,0
43173,0,0,0,0,0,0,0
43238,0,0,0,0,0,0,0
43451,0,0,0,0,0,0,0
44094,1,0,0,0,0,0,1
45124,0,0,0,0,0,0,0
48169,0,0,0,0,0,0,0
50368,0,0,0,0,0,0,0
50369,0,0,0,0,0,0,0
50651,0,0,0,0,0,0,0
51294,0,0,0,0,0,0,0
52324,0,0,0,0,0,0,0
55369,0,0,0,0,0,0,0
57568,0,0,0,0,0,0,0
57569,0,0,0,0,0,0,0
57851,0,0,0,0,0,0,0
58494,0,0,0,0,0,0,0
59524,0,0,0,0,0,0,0
61270,1,0,0,0,0,0,1
62565,0,0,0,0,0,0,0
64764,0,0,0,0,0,0,0
64765,0,0,0,0,0,0,0
65047,0,0,0,0,0,0,0
66724,0,0,0,0,0,0,0
68470,0,0,0,0,0,0,0
69765,0,0,0,0,0,0,0
71964,0,0,0,0,0,0,0
71965,0,0,0,0,0,0,0
72247,0,0,0,0,0,0,0
73924,0,0,0,0,0,0,0
75670,0,0,0,0,0,0,0
76965,0,0,0,0,0,0,0
77030,0,0,0,0,0,0,1
78397,0,0,0,0,0,0,1
79041,0,0,0,0,0,0,1
79152,0,0,0,0,0,0,0
79153,0,0,0,0,0,0,0
79435,0,0,0,0,0,0,0
79793,0,0,0,0,0,0,1
80336,0,0,0,0,0,0,1
80432,0,0,0,0,0,0,1
84218,0,0,0,0,0,0,0
86349,0,0,0,0,0,0,0
86635,0,0,0,0,0,0,0
86993,0,0,0,0,0,0,0
87536,0,0,0,0,0,0,0
87632,0,0,0,0,0,0,0
88780,0,0,0,0,0,0,1
88988,0,0,0,0,0,0,1
91410,0,0,0,0,0,0,0
91432,0,0,0,0,0,0,1
92364,0,0,0,0,0,0,1
93533,0,0,0,0,0,0,0
93819,0,0,0,0,0,0,0
94103,0,0,0,0,0,0,1
94173,0,0,0,0,0,0,0
94357,0,0,0,0,0,0,1
96176,0,0,0,0,0,0,0
98598,0,0,0,0,0,0,0
99556,0,0,0,0,0,0,0
101303,0,0,0,0,0,0,0
101373,0,0,0,0,0,0,0
101557,0,0,0,0,0,0,0
102729,0,0,0,0,0,0,1
103113,0,0,0,0,0,0,1
103368,0,0,0,0,0,0,0
105790,0,0,0,0,0,0,0
106748,0,0,0,0,0,0,0
108473,1,0,0,0,0,0,1
108491,0,0,0,0,0,0,0
109925,0,0,0,0,0,0,0
109969,0,0,0,0,0,0,1
110013,0,0,0,0,0,0,1
110057,0,0,0,0,0,0,1
110556,0,0,0,0,0,0,0
112978,0,0,0,0,0,0,0
113936,0,0,0,0,0,0,0
115661,0,0,0,0,0,0,0
115679,0,0,0,0,0,0,0
117257,0,0,0,0,0,0,0
117278,0,0,0,0,0,0,1
117752,0,0,0,0,0,0,0
118948,0,0,0,0,0,0,1
120672,1,0,0,0,0,0,1
121128,0,0,0,0,0,0,0
122853,0,0,0,0,0,0,0
122871,0,0,0,0,0,0,0
123467,0,0,0,0,0,0,1
124445,0,0,0,0,0,0,0
124466,0,0,0,0,0,0,0
124821,0,0,0,0,0,0,1
127864,0,0,0,0,0,0,0
128320,0,0,0,0,0,0,0
130045,0,0,0,0,0,0,0
130663,0,0,0,0,0,0,0
131666,0,0,0,0,0,0,0
132021,0,0,0,0,0,0,0
133004,0,0,0,0,0,0,1
135060,0,0,0,0,0,0,0
137245,0,0,0,0,0,0,0
137863,0,0,0,0,0,0,0
138866,0,0,0,0,0,0,0
139221,0,0,0,0,0,0,0
140204,0,0,0,0,0,0,0
142260,0,0,0,0,0,0,0
144445,0,0,0,0,0,0,0
145063,0,0,0,0,0,0,0
146066,0,0,0,0,0,0,0
146421,0,0,0,0,0,0,0
147404,0,0,0,0,0,0,0
149460,0,0,0,0,0,0,0
151645,0,0,0,0,0,0,0
152263,0,0,0,0,0,0,0
153266,0,0,0,0,0,0,0
153621,0,0,0,0,0,0,0
154604,0,0,0,0,0,0,0
156280,0,0,0,0,0,0,1
156656,0,0,0,0,0,0,0
158476,1,0,0,0,0,0,1
158837,0,0,0,0,0,0,0
159455,0,0,0,0,0,0,0
160458,0,0,0,0,0,0,0
160813,0,0,0,0,0,0,0
161672,0,0,0,0,0,0,1
163472,0,0,0,0,0,0,0
166037,0,0,0,0,0,0,0
166246,0,0,0,0,0,0,1
166651,0,0,0,0,0,0,0
168013,0,0,0,0,0,0,0
168637,0,0,0,0,0,0,1
