step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
6170,0,0,0,0,0,0,1
7196,0,0,0,0,0,0,0
7197,0,0,0,0,0,0,0
7199,0,0,0,0,0,0,0
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
13370,0,0,0,0,0,0,0
14396,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14399,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
20570,0,0,0,0,0,0,0
21596,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
27770,0,0,0,0,0,0,0
28796,0,0,0,0,0,0,0
28797,0,0,0,0,0,0,0
28799,0,0,0,0,0,0,0
28800,0,0,0,0,0,0,0
28801,0,0,0,0,0,0,0
34970,0,0,0,0,0,0,0
35996,0,0,0,0,0,0,0
35997,0,0,0,0,0,0,0
35999,0,0,0,0,0,0,0
36000,0,0,0,0,0,0,0
36001,0,0,0,0,0,0,0
36721,0,0,0,0,0,0,1
38017,0,0,0,0,0,0,1
38203,0,0,0,0,0,0,1
39231,0,0,0,0,0,0,1
42154,0,0,0,0,0,0,0
43180,0,0,0,0,0,0,0
43184,0,0,0,0,0,0,0
43917,0,0,0,0,0,0,0
45213,0,0,0,0,0,0,0
46385,0,0,0,0,0,0,1
46427,0,0,0,0,0,0,0
49350,0,0,0,0,0,0,0
50376,0,0,0,0,0,0,0
50380,0,0,0,0,0,0,0
51113,0,0,0,0,0,0,0
53585,0,0,0,0,0,0,0
53627,0,0,0,0,0,0,0
56550,0,0,0,0,0,0,0
57576,0,0,0,0,0,0,0
57580,0,0,0,0,0,0,0
58313,0,0,0,0,0,0,0
60785,0,0,0,0,0,0,0
60827,0,0,0,0,0,0,0
61569,0,0,0,0,0,0,1
62139,1,0,0,0,0,0,1
63742,0,0,0,0,0,0,0
64768,0,0,0,0,0,0,0
64772,0,0,0,0,0,0,0
65505,0,0,0,0,0,0,0
68769,0,0,0,0,0,0,0
68813,0,0,0,0,0,0,1
68877,1,0,0,0,0,0,1
68921,0,0,0,0,0,0,1
69327,0,0,0,0,0,0,0
70930,0,0,0,0,0,0,0
71956,0,0,0,0,0,0,0
71960,0,0,0,0,0,0,0
76009,0,0,0,0,0,0,0
76121,0,0,0,0,0,0,0
76527,0,0,0,0,0,0,0
78130,0,0,0,0,0,0,0
79156,0,0,0,0,0,0,0
79160,0,0,0,0,0,0,0
82057,0,0,0,0,0,0,1
83321,0,0,0,0,0,0,0
83727,0,0,0,0,0,0,0
85330,0,0,0,0,0,0,0
86356,0,0,0,0,0,0,0
86360,0,0,0,0,0,0,0
89156,1,0,0,0,0,0,1
89253,0,0,0,0,0,0,0
90517,0,0,0,0,0,0,0
90923,0,0,0,0,0,0,0
92526,0,0,0,0,0,0,0
93556,0,0,0,0,0,0,0
96356,0,0,0,0,0,0,0
96453,0,0,0,0,0,0,0
97241,0,0,0,0,0,0,1
97713,0,0,0,0,0,0,0
98119,0,0,0,0,0,0,0
99722,0,0,0,0,0,0,0
100752,0,0,0,0,0,0,0
103552,0,0,0,0,0,0,0
104441,0,0,0,0,0,0,0
104913,0,0,0,0,0,0,0
105319,0,0,0,0,0,0,0
106922,0,0,0,0,0,0,0
107952,0,0,0,0,0,0,0
110752,0,0,0,0,0,0,0
111641,0,0,0,0,0,0,0
112113,0,0,0,0,0,0,0
112519,0,0,0,0,0,0,0
114122,0,0,0,0,0,0,0
114166,0,0,0,0,0,0,1
115148,0,0,0,0,0,0,0
117781,0,0,0,0,0,0,1
117944,0,0,0,0,0,0,0
118710,0,0,0,0,0,0,1
118829,0,0,0,0,0,0,0
119711,0,0,0,0,0,0,0
122348,0,0,0,0,0,0,0
124981,0,0,0,0,0,0,0
125144,0,0,0,0,0,0,0
125910,0,0,0,0,0,0,0
126029,0,0,0,0,0,0,0
126911,0,0,0,0,0,0,0
128370,0,0,0,0,0,0,1
129544,0,0,0,0,0,0,0
130858,0,0,0,0,0,0,1
131430,0,0,0,0,0,0,1
132169,0,0,0,0,0,0,0
132332,0,0,0,0,0,0,0
133217,0,0,0,0,0,0,1
133221,0,0,0,0,0,0,0
134099,0,0,0,0,0,0,0
136736,0,0,0,0,0,0,0
138100,0,0,0,0,0,0,1
138622,0,0,0,0,0,0,0
139528,0,0,0,0,0,0,0
140413,0,0,0,0,0,0,0
140417,0,0,0,0,0,0,0
140718,0,0,0,0,0,0,1
141291,0,0,0,0,0,0,0
145296,0,0,0,0,0,0,0
146728,0,0,0,0,0,0,0
147613,0,0,0,0,0,0,0
147617,0,0,0,0,0,0,0
147844,0,0,0,0,0,0,1
147914,0,0,0,0,0,0,0
148487,0,0,0,0,0,0,0
148819,0,0,0,0,0,0,1
152488,0,0,0,0,0,0,0
154809,0,0,0,0,0,0,0
154813,0,0,0,0,0,0,0
155040,0,0,0,0,0,0,0
155110,0,0,0,0,0,0,0
156019,0,0,0,0,0,0,0
159688,0,0,0,0,0,0,0
162009,0,0,0,0,0,0,0
162013,0,0,0,0,0,0,0
162240,0,0,0,0,0,0,0
162264,0,0,0,0,0,0,1
162306,0,0,0,0,0,0,0
163215,0,0,0,0,0,0,0
164193,0,0,0,0,0,0,1
164574,0,0,0,0,0,0,1
