step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2400,0,0,0,0,0
2700,0,0,0,0,0
3000,0,0,0,0,0
3300,0,0,0,0,0
3600,0,0,0,0,0
3900,0,0,0,0,0
3927,0,0,0,0,1
4227,0,0,0,0,0
4367,0,0,0,0,1
4667,0,0,0,0,0
4967,0,0,0,0,0
5267,0,0,0,0,0
5567,0,0,0,0,0
5867,0,0,0,0,0
6167,0,0,0,0,0
6188,0,0,0,0,1
6488,0,0,0,0,0
6788,0,0,0,0,0
7088,0,0,0,0,0
7388,0,0,0,0,0
7688,0,0,0,0,0
7988,0,0,0,0,0
8288,0,0,0,0,0
8588,0,0,0,0,0
8888,0,0,0,0,0
9188,0,0,0,0,0
9488,0,0,0,0,0
9788,0,0,0,0,0
10044,0,0,0,0,1
10344,0,0,0,0,0
10644,0,0,0,0,0
10944,0,0,0,0,0
11244,0,0,0,0,0
11544,0,0,0,0,0
11844,0,0,0,0,0
12144,0,0,0,0,0
12444,0,0,0,0,0
12744,0,0,0,0,0
13044,0,0,0,0,0
13344,0,0,0,0,0
13644,0,0,0,0,0
13944,0,0,0,0,0
14244,0,0,0,0,0
14544,0,0,0,0,0
14554,0,0,0,0,1
14854,0,0,0,0,0
15154,0,0,0,0,0
15454,0,0,0,0,0
15754,0,0,0,0,0
16054,0,0,0,0,0
16354,0,0,0,0,0
16654,0,0,0,0,0
16954,0,0,0,0,0
17254,0,0,0,0,0
17554,0,0,0,0,0
17854,0,0,0,0,0
18154,0,0,0,0,0
18454,0,0,0,0,0
18754,0,0,0,0,0
19054,0,0,0,0,0
19157,0,0,0,0,1
19457,0,0,0,0,0
19757,0,0,0,0,0
20057,0,0,0,0,0
20357,0,0,0,0,0
20657,0,0,0,0,0
20957,0,0,0,0,0
20977,0,0,0,0,1
21131,0,0,0,0,1
21431,0,0,0,0,0
21731,0,0,0,0,0
22031,0,0,0,0,0
22303,0,0,0,0,1
22603,0,0,0,0,0
22903,0,0,0,0,0
22995,1,0,0,0,1
23295,0,0,0,0,0
23595,0,0,0,0,0
23895,0,0,0,0,0
24195,0,0,0,0,0
24495,0,0,0,0,0
24795,0,0,0,0,0
25095,0,0,0,0,0
25395,0,0,0,0,0
25695,0,0,0,0,0
25995,0,0,0,0,0
26132,0,0,0,0,1
26432,0,0,0,0,0
26449,0,0,0,0,1
26749,0,0,0,0,0
26773,0,0,0,0,1
27073,0,0,0,0,0
27373,0,0,0,0,0
27418,0,0,0,0,1
27718,0,0,0,0,0
27784,1,0,0,0,1
28084,0,0,0,0,0
28097,0,0,0,0,1
28235,1,0,0,0,1
28535,0,0,0,0,0
28557,0,0,0,0,1
28608,1,0,0,0,1
28908,0,0,0,0,0
28932,1,0,0,0,1
29232,0,0,0,0,0
29532,0,0,0,0,0
29832,0,0,0,0,0
29851,0,0,0,0,1
29890,0,0,0,0,1
30076,0,0,0,0,1
