step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1598,0,0,0,0,1
1898,0,0,0,0,0
2198,0,0,0,0,0
2498,0,0,0,0,0
2798,0,0,0,0,0
3098,0,0,0,0,0
3398,0,0,0,0,0
3698,0,0,0,0,0
3998,0,0,0,0,0
4298,0,0,0,0,0
4598,0,0,0,0,0
4898,0,0,0,0,0
5198,0,0,0,0,0
5498,0,0,0,0,0
5798,0,0,0,0,0
6098,0,0,0,0,0
6398,0,0,0,0,0
6437,0,0,0,0,1
6737,0,0,0,0,0
7037,0,0,0,0,0
7337,0,0,0,0,0
7637,0,0,0,0,0
7937,0,0,0,0,0
8237,0,0,0,0,0
8537,0,0,0,0,0
8837,0,0,0,0,0
9137,0,0,0,0,0
9437,0,0,0,0,0
9737,0,0,0,0,0
10037,0,0,0,0,0
10337,0,0,0,0,0
10637,0,0,0,0,0
10937,0,0,0,0,0
11237,0,0,0,0,0
11252,0,0,0,0,1
11359,0,0,0,0,1
11659,0,0,0,0,0
11959,0,0,0,0,0
12259,0,0,0,0,0
12559,0,0,0,0,0
12859,0,0,0,0,0
12860,0,0,0,0,1
13160,0,0,0,0,0
13460,0,0,0,0,0
13760,0,0,0,0,0
14060,0,0,0,0,0
14360,0,0,0,0,0
14377,0,0,0,0,1
14677,0,0,0,0,0
14977,0,0,0,0,0
15277,0,0,0,0,0
15295,0,0,0,0,1
15595,0,0,0,0,0
15895,0,0,0,0,0
16195,0,0,0,0,0
16422,0,0,0,0,1
16457,0,0,0,0,1
16757,0,0,0,0,0
16806,0,0,0,0,1
17106,0,0,0,0,0
17130,1,0,0,0,1
17430,0,0,0,0,0
17730,0,0,0,0,0
18030,0,0,0,0,0
18330,0,0,0,0,0
18630,0,0,0,0,0
18867,0,0,0,0,1
19167,0,0,0,0,0
19467,0,0,0,0,0
19767,0,0,0,0,0
20067,0,0,0,0,0
20367,0,0,0,0,0
20667,0,0,0,0,0
20967,0,0,0,0,0
21267,0,0,0,0,0
21301,1,0,0,0,1
21328,1,0,0,0,1
21329,0,0,0,0,1
21629,0,0,0,0,0
21929,0,0,0,0,0
22015,0,0,0,0,1
22315,0,0,0,0,0
22316,0,0,0,0,1
22616,0,0,0,0,0
22916,0,0,0,0,0
23216,0,0,0,0,0
23516,0,0,0,0,0
23816,0,0,0,0,0
24116,0,0,0,0,0
24416,0,0,0,0,0
24716,0,0,0,0,0
25016,0,0,0,0,0
25316,0,0,0,0,0
25355,1,0,0,0,1
25372,0,0,0,0,1
25387,0,0,0,0,1
25412,1,0,0,0,1
25424,0,0,0,0,1
25446,1,0,0,0,1
25746,0,0,0,0,0
26046,0,0,0,0,0
26346,0,0,0,0,0
26382,0,0,0,0,1
26518,0,0,0,0,1
26818,0,0,0,0,0
26872,0,0,0,0,1
27172,0,0,0,0,0
27472,0,0,0,0,0
27772,0,0,0,0,0
27780,0,0,0,0,1
27793,0,0,0,0,1
27820,0,0,0,0,1
