step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,1
901,0,0,0,0,0
1201,0,0,0,0,0
1501,0,0,0,0,0
1801,0,0,0,0,0
2101,0,0,0,0,0
2401,0,0,0,0,0
2701,0,0,0,0,0
3001,0,0,0,0,0
3120,0,0,0,0,1
3420,0,0,0,0,0
3720,0,0,0,0,0
4020,0,0,0,0,0
4320,0,0,0,0,0
4620,0,0,0,0,0
4920,0,0,0,0,0
5220,0,0,0,0,0
5520,0,0,0,0,0
5820,0,0,0,0,0
6120,0,0,0,0,0
6420,0,0,0,0,0
6720,0,0,0,0,0
7020,0,0,0,0,0
7320,0,0,0,0,0
7620,0,0,0,0,0
7716,0,0,0,0,1
8016,0,0,0,0,0
8316,0,0,0,0,0
8616,0,0,0,0,0
8916,0,0,0,0,0
9216,0,0,0,0,0
9516,0,0,0,0,0
9517,0,0,0,0,1
9817,0,0,0,0,0
9818,0,0,0,0,1
10118,0,0,0,0,0
10418,0,0,0,0,0
10718,0,0,0,0,0
11018,0,0,0,0,0
11318,0,0,0,0,0
11618,0,0,0,0,0
11918,0,0,0,0,0
12218,0,0,0,0,0
12219,0,0,0,0,1
12519,0,0,0,0,0
12819,0,0,0,0,0
13119,0,0,0,0,0
13419,0,0,0,0,0
13719,0,0,0,0,0
14019,0,0,0,0,0
14319,0,0,0,0,0
14619,0,0,0,0,0
14919,0,0,0,0,0
15219,0,0,0,0,0
15519,0,0,0,0,0
15819,0,0,0,0,0
16119,0,0,0,0,0
16419,0,0,0,0,0
16719,0,0,0,0,0
17019,0,0,0,0,0
17319,0,0,0,0,0
17619,0,0,0,0,0
17919,0,0,0,0,0
18219,0,0,0,0,0
18519,0,0,0,0,0
18543,0,0,0,0,1
18843,0,0,0,0,0
19143,0,0,0,0,0
19443,0,0,0,0,0
19743,0,0,0,0,0
20043,0,0,0,0,0
20084,0,0,0,0,1
20384,0,0,0,0,0
20684,1,0,0,0,0
20984,0,0,0,0,0
21284,0,0,0,0,0
21584,0,0,0,0,0
21718,0,0,0,0,1
22018,0,0,0,0,0
22318,0,0,0,0,0
22594,0,0,0,0,1
22612,0,0,0,0,1
22637,0,0,0,0,1
22937,0,0,0,0,0
23237,0,0,0,0,0
23537,0,0,0,0,0
23837,0,0,0,0,0
24137,0,0,0,0,0
24155,0,0,0,0,1
24455,0,0,0,0,0
24755,0,0,0,0,0
25055,0,0,0,0,0
25095,1,0,0,0,1
25180,0,0,0,0,1
25480,0,0,0,0,0
25780,0,0,0,0,0
26080,0,0,0,0,0
26117,1,0,0,0,1
26417,0,0,0,0,0
26717,0,0,0,0,0
27017,0,0,0,0,0
27317,0,0,0,0,0
27342,0,0,0,0,1
27642,0,0,0,0,0
27668,1,0,0,0,1
27968,0,0,0,0,0
27993,0,0,0,0,1
28293,0,0,0,0,0
28593,0,0,0,0,0
28893,0,0,0,0,0
28921,1,0,0,0,1
29221,0,0,0,0,0
29521,0,0,0,0,0
29821,0,0,0,0,0
30121,0,0,0,0,0
