step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2400,0,0,0,0,0
2700,0,0,0,0,0
3000,0,0,0,0,0
3300,0,0,0,0,0
3600,0,0,0,0,0
3900,0,0,0,0,0
4200,0,0,0,0,0
4500,0,0,0,0,0
4800,0,0,0,0,0
5100,0,0,0,0,0
5400,0,0,0,0,0
5700,0,0,0,0,0
6000,0,0,0,0,0
6300,0,0,0,0,0
6600,0,0,0,0,0
6900,0,0,0,0,0
7200,0,0,0,0,0
7500,0,0,0,0,0
7800,0,0,0,0,0
8100,0,0,0,0,0
8400,0,0,0,0,0
8700,0,0,0,0,0
9000,0,0,0,0,0
9300,0,0,0,0,0
9600,0,0,0,0,0
9900,0,0,0,0,0
10200,0,0,0,0,0
10500,0,0,0,0,0
10800,0,0,0,0,0
11100,0,0,0,0,0
11400,0,0,0,0,0
11700,0,0,0,0,0
11832,0,0,0,0,1
12132,0,0,0,0,0
12432,0,0,0,0,0
12732,0,0,0,0,0
13032,0,0,0,0,0
13332,0,0,0,0,0
13632,0,0,0,0,0
13633,0,0,0,0,1
13933,0,0,0,0,0
13966,0,0,0,0,1
13978,0,0,0,0,1
13986,0,0,0,0,1
14286,0,0,0,0,0
14323,0,0,0,0,1
14623,0,0,0,0,0
14697,0,0,0,0,1
14997,0,0,0,0,0
15297,0,0,0,0,0
15597,0,0,0,0,0
15610,0,0,0,0,1
15910,0,0,0,0,0
16210,0,0,0,0,0
16510,0,0,0,0,0
16810,0,0,0,0,0
17110,0,0,0,0,0
17252,0,0,0,0,1
17552,0,0,0,0,0
17852,0,0,0,0,0
18152,0,0,0,0,0
18223,1,0,0,0,1
18258,1,0,0,0,1
18558,0,0,0,0,0
18858,0,0,0,0,0
19158,0,0,0,0,0
19458,0,0,0,0,0
19468,0,0,0,0,1
19469,0,0,0,0,1
19535,0,0,0,0,1
19835,0,0,0,0,0
20135,0,0,0,0,0
20435,0,0,0,0,0
20735,0,0,0,0,0
21035,0,0,0,0,0
21335,0,0,0,0,0
21349,0,0,0,0,1
21372,0,0,0,0,1
21672,0,0,0,0,0
21972,0,0,0,0,0
22272,0,0,0,0,0
22572,0,0,0,0,0
22630,0,0,0,0,1
22652,0,0,0,0,1
22670,0,0,0,0,1
22683,0,0,0,0,1
22697,0,0,0,0,1
22997,0,0,0,0,0
23297,0,0,0,0,0
23584,0,0,0,0,1
23712,0,0,0,0,1
24012,0,0,0,0,0
24312,0,0,0,0,0
24433,0,0,0,0,1
24733,0,0,0,0,0
25033,0,0,0,0,0
25333,0,0,0,0,0
25633,0,0,0,0,0
25933,0,0,0,0,0
25941,0,0,0,0,1
25993,1,0,0,0,1
26293,0,0,0,0,0
26593,0,0,0,0,0
26893,0,0,0,0,0
27067,0,0,0,0,1
27089,0,0,0,0,1
27137,0,0,0,0,1
27437,0,0,0,0,0
27737,0,0,0,0,0
28037,0,0,0,0,0
