step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2400,0,0,0,0,0
2401,0,0,0,0,1
2701,0,0,0,0,0
3001,0,0,0,0,0
3301,0,0,0,0,0
3601,0,0,0,0,0
3774,0,0,0,0,1
3775,0,0,0,0,1
3787,0,0,0,0,1
4087,0,0,0,0,0
4387,0,0,0,0,0
4687,0,0,0,0,0
4987,0,0,0,0,0
5287,0,0,0,0,0
5587,0,0,0,0,0
5646,0,0,0,0,1
5946,0,0,0,0,0
6246,0,0,0,0,0
6546,0,0,0,0,0
6846,0,0,0,0,0
7146,0,0,0,0,0
7446,0,0,0,0,0
7746,0,0,0,0,0
8046,0,0,0,0,0
8346,0,0,0,0,0
8646,0,0,0,0,0
8946,0,0,0,0,0
9246,0,0,0,0,0
9546,0,0,0,0,0
9594,0,0,0,0,1
9894,0,0,0,0,0
10194,0,0,0,0,0
10195,0,0,0,0,1
10495,0,0,0,0,0
10795,0,0,0,0,0
11095,0,0,0,0,0
11395,0,0,0,0,0
11695,0,0,0,0,0
11995,0,0,0,0,0
12295,0,0,0,0,0
12595,0,0,0,0,0
12895,0,0,0,0,0
13195,0,0,0,0,0
13495,0,0,0,0,0
13795,0,0,0,0,0
14095,0,0,0,0,0
14395,0,0,0,0,0
14695,0,0,0,0,0
14995,0,0,0,0,0
15094,0,0,0,0,1
15394,0,0,0,0,0
15694,0,0,0,0,0
15994,0,0,0,0,0
16294,0,0,0,0,0
16594,0,0,0,0,0
16615,1,0,0,0,1
16759,1,0,0,0,1
17059,0,0,0,0,0
17090,0,0,0,0,1
17390,0,0,0,0,0
17482,0,0,0,0,1
17746,0,0,0,0,1
17766,0,0,0,0,1
18066,0,0,0,0,0
18067,0,0,0,0,1
18250,0,0,0,0,1
18550,0,0,0,0,0
18712,0,0,0,0,1
19012,0,0,0,0,0
19312,0,0,0,0,0
19612,0,0,0,0,0
19912,0,0,0,0,0
20212,0,0,0,0,0
20512,0,0,0,0,0
20812,0,0,0,0,0
20873,1,1,0,0,1
21173,0,0,0,0,0
21473,0,0,0,0,0
21773,0,0,0,0,0
21834,1,0,0,0,1
22134,0,0,0,0,0
22154,0,0,0,0,1
22182,0,0,0,0,1
22482,0,0,0,0,0
22548,1,0,0,0,1
22848,1,0,0,0,0
23148,0,0,0,0,0
23212,1,0,0,0,1
23271,1,0,0,0,1
23466,0,0,0,0,1
23493,0,0,0,0,1
23793,0,0,0,0,0
23903,0,0,0,0,1
24203,0,0,0,0,0
24225,0,0,0,0,1
24525,0,0,0,0,0
24825,0,0,0,0,0
24839,0,0,0,0,1
25139,0,0,0,0,0
25439,0,0,0,0,0
25491,1,0,0,0,1
25501,0,0,0,0,1
25801,0,0,0,0,0
26101,0,0,0,0,0
26147,1,0,0,0,1
26184,1,0,0,0,1
26241,1,0,0,0,1
26289,1,0,0,0,1
26310,0,0,0,0,1
26610,0,0,0,0,0
