step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2400,0,0,0,0,0
2700,0,0,0,0,0
3000,0,0,0,0,0
3300,0,0,0,0,0
3600,0,0,0,0,0
3900,0,0,0,0,0
4200,0,0,0,0,0
4229,0,0,0,0,1
4248,0,0,0,0,1
4548,0,0,0,0,0
4848,0,0,0,0,0
5148,0,0,0,0,0
5448,0,0,0,0,0
5748,0,0,0,0,0
6048,0,0,0,0,0
6348,0,0,0,0,0
6648,0,0,0,0,0
6927,0,0,0,0,1
7227,0,0,0,0,0
7527,0,0,0,0,0
7827,0,0,0,0,0
8127,0,0,0,0,0
8427,0,0,0,0,0
8727,0,0,0,0,0
9027,0,0,0,0,0
9327,0,0,0,0,0
9627,0,0,0,0,0
9927,0,0,0,0,0
10227,0,0,0,0,0
10285,0,0,0,0,1
10320,0,0,0,0,1
10620,0,0,0,0,0
10920,0,0,0,0,0
11220,0,0,0,0,0
11520,0,0,0,0,0
11820,0,0,0,0,0
11821,0,0,0,0,1
12121,0,0,0,0,0
12421,0,0,0,0,0
12721,0,0,0,0,0
13021,0,0,0,0,0
13321,0,0,0,0,0
13621,0,0,0,0,0
13921,0,0,0,0,0
14221,0,0,0,0,0
14521,0,0,0,0,0
14821,0,0,0,0,0
14837,0,0,0,0,1
14847,0,0,0,0,1
15147,0,0,0,0,0
15447,0,0,0,0,0
15589,0,0,0,0,1
15889,0,0,0,0,0
16189,0,0,0,0,0
16222,0,0,0,0,1
16522,0,0,0,0,0
16822,0,0,0,0,0
17122,0,0,0,0,0
17422,0,0,0,0,0
17722,0,0,0,0,0
18022,1,1,0,0,0
18322,0,0,0,0,0
18622,0,0,0,0,0
18922,0,0,0,0,0
19222,0,0,0,0,0
19223,0,0,0,0,1
19295,0,0,0,0,1
19595,0,0,0,0,0
19895,0,0,0,0,0
20195,0,0,0,0,0
20495,0,0,0,0,0
20496,0,0,0,0,1
20796,0,0,0,0,0
21096,0,0,0,0,0
21396,0,0,0,0,1
21541,0,0,0,0,1
21599,1,0,0,0,1
21899,0,0,0,0,0
22199,0,0,0,0,0
22499,0,0,0,0,0
22799,0,0,0,0,0
22800,0,0,0,0,1
23100,0,0,0,0,0
23400,0,0,0,0,0
23700,0,0,0,0,0
23954,0,0,0,0,1
24254,0,0,0,0,0
24504,0,0,0,0,1
24804,0,0,0,0,0
25104,0,0,0,0,0
25156,0,0,0,0,1
25456,0,0,0,0,0
25756,0,0,0,0,0
26056,0,0,0,0,0
26057,0,0,0,0,1
26357,0,0,0,0,0
26657,0,0,0,0,0
26957,0,0,0,0,0
27257,0,0,0,0,0
27557,0,0,0,0,0
27589,0,0,0,0,1
27889,0,0,0,0,0
27914,0,0,0,0,1
27933,0,0,0,0,1
28233,0,0,0,0,0
28533,0,0,0,0,0
28833,0,0,0,0,0
29133,0,0,0,0,0
29204,1,0,0,0,1
29320,1,0,0,0,1
