step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2369,0,0,0,0,1
2669,0,0,0,0,0
2969,0,0,0,0,0
3269,0,0,0,0,0
3276,0,0,0,0,1
3576,0,0,0,0,0
3876,0,0,0,0,0
4176,0,0,0,0,0
4476,0,0,0,0,0
4776,0,0,0,0,0
5076,0,0,0,0,0
5376,0,0,0,0,0
5676,0,0,0,0,0
5976,0,0,0,0,0
6276,0,0,0,0,0
6576,0,0,0,0,0
6876,0,0,0,0,0
7176,0,0,0,0,0
7476,0,0,0,0,0
7776,0,0,0,0,0
8076,0,0,0,0,0
8376,0,0,0,0,0
8676,0,0,0,0,0
8976,0,0,0,0,0
9276,0,0,0,0,0
9576,0,0,0,0,0
9876,0,0,0,0,0
10176,0,0,0,0,0
10476,0,0,0,0,0
10776,0,0,0,0,0
10946,0,0,0,0,1
11246,0,0,0,0,0
11546,0,0,0,0,0
11846,0,0,0,0,0
12146,0,0,0,0,0
12446,0,0,0,0,0
12746,0,0,0,0,0
13046,0,0,0,0,0
13346,0,0,0,0,0
13646,0,0,0,0,0
13946,0,0,0,0,0
14246,0,0,0,0,0
14546,0,0,0,0,0
14846,0,0,0,0,0
15146,0,0,0,0,0
15446,0,0,0,0,0
15746,0,0,0,0,0
16046,0,0,0,0,0
16346,0,0,0,0,0
16646,0,0,0,0,0
16946,0,0,0,0,0
17246,0,0,0,0,0
17546,0,0,0,0,0
17846,0,0,0,0,0
18146,0,0,0,0,0
18384,0,0,0,0,1
18490,0,0,0,0,1
18790,0,0,0,0,0
19090,0,0,0,0,0
19390,0,0,0,0,0
19690,0,0,0,0,0
19990,0,0,0,0,0
20290,0,0,0,0,0
20590,0,0,0,0,0
20890,0,0,0,0,0
20902,0,0,0,0,1
21202,0,0,0,0,0
21203,0,0,0,0,1
21503,0,0,0,0,0
21803,0,0,0,0,0
22103,0,0,0,0,0
22403,0,0,0,0,0
22703,0,0,0,0,0
23003,0,0,0,0,0
23303,0,0,0,0,0
23603,0,0,0,0,0
23903,0,0,0,0,0
24203,0,0,0,0,0
24503,0,0,0,0,0
24803,0,0,0,0,0
24881,1,0,0,0,1
25181,0,0,0,0,0
25481,0,0,0,0,0
25781,0,0,0,0,0
26081,0,0,0,0,0
26381,0,0,0,0,0
26681,0,0,0,0,0
26753,0,0,0,0,1
26816,0,0,0,0,1
27116,0,0,0,0,0
27416,0,0,0,0,0
27716,0,0,0,0,0
28016,0,0,0,0,0
28316,0,0,0,0,0
28616,0,0,0,0,0
28617,0,0,0,0,1
28677,1,0,0,0,1
28977,0,0,0,0,0
29277,0,0,0,0,0
29577,0,0,0,0,0
29877,0,0,0,0,0
30177,0,0,0,0,0
30477,0,0,0,0,0
30777,0,0,0,0,0
31077,0,0,0,0,0
31377,0,0,0,0,0
31677,0,0,0,0,0
31977,0,0,0,0,0
32277,0,0,0,0,0
32577,0,0,0,0,0
