step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1800,0,0,0,0,0
2100,0,0,0,0,0
2400,0,0,0,0,0
2700,0,0,0,0,0
3000,0,0,0,0,0
3300,0,0,0,0,0
3600,0,0,0,0,0
3900,0,0,0,0,0
4200,0,0,0,0,0
4232,0,0,0,0,1
4245,0,0,0,0,1
4545,0,0,0,0,0
4845,0,0,0,0,0
5145,0,0,0,0,0
5445,0,0,0,0,0
5745,0,0,0,0,0
6045,0,0,0,0,0
6345,0,0,0,0,0
6645,0,0,0,0,0
6936,0,0,0,0,1
7236,0,0,0,0,0
7536,0,0,0,0,0
7836,0,0,0,0,0
8136,0,0,0,0,0
8184,0,0,0,0,1
8317,0,0,0,0,1
8389,0,0,0,0,1
8689,0,0,0,0,0
8989,0,0,0,0,0
9001,0,0,0,0,1
9301,0,0,0,0,0
9601,0,0,0,0,0
9901,0,0,0,0,0
10201,0,0,0,0,0
10501,0,0,0,0,0
10801,0,0,0,0,0
11101,0,0,0,0,0
11401,0,0,0,0,0
11402,0,0,0,0,1
11702,0,0,0,0,0
11772,0,0,0,0,1
12072,0,0,0,0,0
12372,0,0,0,0,0
12672,0,0,0,0,0
12972,0,0,0,0,0
13272,0,0,0,0,0
13572,0,0,0,0,0
13872,0,0,0,0,0
14172,0,0,0,0,0
14472,0,0,0,0,0
14772,0,0,0,0,0
15072,0,0,0,0,0
15372,0,0,0,0,0
15672,0,0,0,0,0
15680,0,0,0,0,1
15980,0,0,0,0,0
16280,0,0,0,0,0
16580,0,0,0,0,0
16641,1,0,0,0,1
16941,0,0,0,0,0
16951,0,0,0,0,1
17251,0,0,0,0,0
17551,0,0,0,0,0
17572,0,0,0,0,1
17872,0,0,0,0,0
18172,0,0,0,0,0
18472,0,0,0,0,0
18473,0,0,0,0,1
18500,0,0,0,0,1
18800,0,0,0,0,0
18808,0,0,0,0,1
18815,0,0,0,0,1
18824,0,0,0,0,1
18825,0,0,0,0,1
19125,0,0,0,0,0
19425,0,0,0,0,0
19725,0,0,0,0,0
20025,0,0,0,0,0
20063,0,0,0,0,1
20158,0,0,0,0,1
20257,0,0,0,0,1
20272,0,0,0,0,1
20284,0,0,0,0,1
20285,0,0,0,0,1
20304,0,0,0,0,1
20604,0,0,0,0,0
20904,0,0,0,0,0
21204,0,0,0,0,0
21287,1,0,0,0,1
21587,0,0,0,0,0
21640,1,0,0,0,1
21684,1,0,0,0,1
21715,0,0,0,0,1
22015,0,0,0,0,0
22035,0,0,0,0,1
22165,1,0,0,0,1
22166,0,0,0,0,1
22466,0,0,0,0,0
22522,1,0,0,0,1
22822,0,0,0,0,0
23122,0,0,0,0,0
23422,0,0,0,0,0
23722,0,0,0,0,0
24022,0,0,0,0,0
24322,0,0,0,0,0
24622,0,0,0,0,0
24687,0,0,0,0,1
24724,0,0,0,0,1
24755,1,0,0,0,1
24813,1,0,0,0,1
25113,0,0,0,0,0
25413,0,0,0,0,0
