step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
10488,0,0,0,0,0,0,1
14397,0,0,0,0,0,0,0
14398,0,0,0,0,0,0,0
14399,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
17688,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21625,0,0,0,0,0,0,1
21887,0,0,0,0,0,0,1
24880,0,0,0,0,0,0,0
28790,0,0,0,0,0,0,0
28792,0,0,0,0,0,0,0
28793,0,0,0,0,0,0,0
28825,0,0,0,0,0,0,0
29087,0,0,0,0,0,0,0
32080,0,0,0,0,0,0,0
35990,0,0,0,0,0,0,0
35992,0,0,0,0,0,0,0
35993,0,0,0,0,0,0,0
36025,0,0,0,0,0,0,0
36287,0,0,0,0,0,0,0
36354,0,0,0,0,0,0,1
36783,0,0,0,0,0,0,1
36827,0,0,0,0,0,0,1
39268,0,0,0,0,0,0,0
43180,0,0,0,0,0,0,0
43181,0,0,0,0,0,0,0
43217,0,0,0,0,0,0,0
43550,0,0,0,0,0,0,0
44027,0,0,0,0,0,0,0
46468,0,0,0,0,0,0,0
50380,0,0,0,0,0,0,0
50381,0,0,0,0,0,0,0
50417,0,0,0,0,0,0,0
50750,0,0,0,0,0,0,0
51227,0,0,0,0,0,0,0
53668,0,0,0,0,0,0,0
57580,0,0,0,0,0,0,0
57581,0,0,0,0,0,0,0
57617,0,0,0,0,0,0,0
57950,0,0,0,0,0,0,0
58427,0,0,0,0,0,0,0
60868,0,0,0,0,0,0,0
64780,0,0,0,0,0,0,0
64781,0,0,0,0,0,0,0
64817,0,0,0,0,0,0,0
65150,0,0,0,0,0,0,0
65627,0,0,0,0,0,0,0
68068,0,0,0,0,0,0,0
71980,0,0,0,0,0,0,0
71981,0,0,0,0,0,0,0
72017,0,0,0,0,0,0,0
72350,0,0,0,0,0,0,0
72827,0,0,0,0,0,0,0
75268,0,0,0,0,0,0,0
79180,0,0,0,0,0,0,0
79181,0,0,0,0,0,0,0
79217,0,0,0,0,0,0,0
79261,0,0,0,0,0,0,1
79546,0,0,0,0,0,0,0
80023,0,0,0,0,0,0,0
81843,1,0,0,0,0,0,1
82460,1,1,0,0,0,0,0
82795,1,0,0,0,0,0,1
86368,0,0,0,0,0,0,0
86369,0,0,0,0,0,0,0
86453,0,0,0,0,0,0,0
86738,0,0,0,0,0,0,0
86881,0,0,0,0,0,0,1
89656,1,1,1,0,0,0,0
89991,0,0,0,0,0,0,0
90035,0,0,0,0,0,0,1
90365,0,0,0,0,0,0,1
90366,0,0,0,0,0,0,1
90524,0,0,0,0,0,0,1
91912,1,0,0,0,0,0,1
92510,0,0,0,0,0,0,1
92772,1,0,0,0,0,0,1
94065,0,0,0,0,0,0,0
95258,1,0,0,0,0,0,1
95569,1,0,0,0,0,0,1
95874,0,0,0,0,0,0,1
97215,1,0,0,0,0,0,0
97545,1,0,0,0,0,0,0
97662,0,0,0,0,0,0,1
99096,1,0,0,0,0,0,0
99960,1,1,1,1,0,0,0
102765,1,0,0,0,0,0,0
103793,1,0,0,0,0,0,1
104411,0,0,0,0,0,0,0
104741,1,0,0,0,0,0,0
104858,0,0,0,0,0,0,0
105145,1,0,0,0,0,0,1
105212,1,0,0,0,0,0,1
105565,0,0,0,0,0,0,1
105609,0,0,0,0,0,0,1
106276,1,0,0,0,0,0,0
106369,1,0,0,0,0,0,1
106681,0,0,0,0,0,0,1
107060,0,0,0,0,0,0,1
107581,0,0,0,0,0,0,1
108585,1,0,0,0,0,0,1
111583,0,0,0,0,0,0,0
112034,0,0,0,0,0,0,0
113230,0,0,0,0,0,0,1
113464,0,0,0,0,0,0,0
113873,0,0,0,0,0,0,0
114252,1,0,0,0,0,0,0
115304,0,0,0,0,0,0,1
115777,0,0,0,0,0,0,0
116636,1,0,0,0,0,0,1
117713,1,0,0,0,0,0,1
118767,0,0,0,0,0,0,0
120418,0,0,0,0,0,0,0
120821,1,0,0,0,0,0,1
121061,0,0,0,0,0,0,0
121845,0,0,0,0,0,0,1
122492,1,0,0,0,0,0,0
122774,1,1,0,0,0,0,1
