step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
14402,0,0,0,0,0,0,0
14403,0,0,0,0,0,0,0
14404,0,0,0,0,0,0,0
14405,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21602,0,0,0,0,0,0,0
21603,0,0,0,0,0,0,0
21604,0,0,0,0,0,0,0
21605,0,0,0,0,0,0,0
28800,0,0,0,0,0,0,0
28801,0,0,0,0,0,0,0
28802,0,0,0,0,0,0,0
28803,0,0,0,0,0,0,0
28804,0,0,0,0,0,0,0
28805,0,0,0,0,0,0,0
28827,0,0,0,0,0,0,1
28965,0,0,0,0,0,0,1
35992,0,0,0,0,0,0,0
35994,0,0,0,0,0,0,0
35996,0,0,0,0,0,0,0
35997,0,0,0,0,0,0,0
36024,0,0,0,0,0,0,1
36027,0,0,0,0,0,0,0
36161,0,0,0,0,0,0,0
43190,0,0,0,0,0,0,0
43192,0,0,0,0,0,0,0
43193,0,0,0,0,0,0,0
43224,0,0,0,0,0,0,0
43227,0,0,0,0,0,0,0
43228,0,0,0,0,0,0,1
43263,0,0,0,0,0,0,1
43353,0,0,0,0,0,0,0
50382,0,0,0,0,0,0,0
50385,0,0,0,0,0,0,0
50420,0,0,0,0,0,0,0
50424,0,0,0,0,0,0,0
50463,0,0,0,0,0,0,0
50553,0,0,0,0,0,0,0
57582,0,0,0,0,0,0,0
57585,0,0,0,0,0,0,0
57620,0,0,0,0,0,0,0
57624,0,0,0,0,0,0,0
57663,0,0,0,0,0,0,0
57753,0,0,0,0,0,0,0
59190,0,0,0,0,0,0,1
59523,0,0,0,0,0,0,1
64777,0,0,0,0,0,0,0
64816,0,0,0,0,0,0,0
64820,0,0,0,0,0,0,0
64953,0,0,0,0,0,0,0
66390,0,0,0,0,0,0,0
66723,0,0,0,0,0,0,0
68517,0,0,0,0,0,0,1
71973,0,0,0,0,0,0,0
72012,0,0,0,0,0,0,0
72016,0,0,0,0,0,0,0
73590,0,0,0,0,0,0,0
73923,0,0,0,0,0,0,0
75717,0,0,0,0,0,0,0
79173,0,0,0,0,0,0,0
79212,0,0,0,0,0,0,0
79216,0,0,0,0,0,0,0
80790,0,0,0,0,0,0,0
81123,0,0,0,0,0,0,0
82917,0,0,0,0,0,0,0
86373,0,0,0,0,0,0,0
86412,0,0,0,0,0,0,0
86416,0,0,0,0,0,0,0
87990,0,0,0,0,0,0,0
88323,0,0,0,0,0,0,0
90117,0,0,0,0,0,0,0
93573,0,0,0,0,0,0,0
93612,0,0,0,0,0,0,0
93616,0,0,0,0,0,0,0
95190,0,0,0,0,0,0,0
95523,0,0,0,0,0,0,0
97317,0,0,0,0,0,0,0
97361,0,0,0,0,0,0,1
100769,0,0,0,0,0,0,0
100808,0,0,0,0,0,0,0
100812,0,0,0,0,0,0,0
102386,0,0,0,0,0,0,0
102719,0,0,0,0,0,0,0
104561,0,0,0,0,0,0,0
105037,0,0,0,0,0,0,1
107965,0,0,0,0,0,0,0
108004,0,0,0,0,0,0,0
108008,0,0,0,0,0,0,0
109582,0,0,0,0,0,0,0
109915,0,0,0,0,0,0,0
110078,0,0,0,0,0,0,1
112233,0,0,0,0,0,0,0
115161,0,0,0,0,0,0,0
115200,0,0,0,0,0,0,0
115204,0,0,0,0,0,0,0
117115,0,0,0,0,0,0,0
117278,0,0,0,0,0,0,0
119433,0,0,0,0,0,0,0
122361,0,0,0,0,0,0,0
122400,0,0,0,0,0,0,0
122404,0,0,0,0,0,0,0
124315,0,0,0,0,0,0,0
124359,0,0,0,0,0,0,1
124474,0,0,0,0,0,0,0
126629,0,0,0,0,0,0,0
129557,1,0,0,0,0,0,0
129596,0,0,0,0,0,0,0
129600,0,0,0,0,0,0,0
131559,0,0,0,0,0,0,0
131674,0,0,0,0,0,0,0
132222,0,0,0,0,0,0,1
132339,0,0,0,0,0,0,1
133821,0,0,0,0,0,0,0
136749,0,0,0,0,0,0,0
136788,0,0,0,0,0,0,0
136792,0,0,0,0,0,0,0
139422,0,0,0,0,0,0,0
139539,0,0,0,0,0,0,0
141021,0,0,0,0,0,0,0
143949,0,0,0,0,0,0,0
143988,0,0,0,0,0,0,0
