step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
149,0,0,0,0,0,0,1
7196,0,0,0,0,0,0,0
7197,0,0,0,0,0,0,0
7198,0,0,0,0,0,0,0
7199,0,0,0,0,0,0,0
7200,0,0,0,0,0,0,0
7349,0,0,0,0,0,0,0
14396,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14398,0,0,0,0,0,0,0
14399,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14549,0,0,0,0,0,0,0
21596,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21749,0,0,0,0,0,0,0
28796,0,0,0,0,0,0,0
28797,0,0,0,0,0,0,0
28798,0,0,0,0,0,0,0
28799,0,0,0,0,0,0,0
28800,0,0,0,0,0,0,0
28949,0,0,0,0,0,0,0
29016,0,0,0,0,0,0,1
35992,0,0,0,0,0,0,0
35993,0,0,0,0,0,0,0
35994,0,0,0,0,0,0,0
35995,0,0,0,0,0,0,0
36027,0,0,0,0,0,0,1
36145,0,0,0,0,0,0,0
36212,0,0,0,0,0,0,0
43188,0,0,0,0,0,0,0
43189,0,0,0,0,0,0,0
43190,0,0,0,0,0,0,0
43227,0,0,0,0,0,0,0
43345,0,0,0,0,0,0,0
43412,0,0,0,0,0,0,0
44753,0,0,0,0,0,0,1
50384,0,0,0,0,0,0,0
50385,0,0,0,0,0,0,0
50386,0,0,0,0,0,0,0
50423,0,0,0,0,0,0,0
50612,0,0,0,0,0,0,0
51953,0,0,0,0,0,0,0
57584,0,0,0,0,0,0,0
57585,0,0,0,0,0,0,0
57586,0,0,0,0,0,0,0
57623,0,0,0,0,0,0,0
57812,0,0,0,0,0,0,0
59153,0,0,0,0,0,0,0
64784,0,0,0,0,0,0,0
64785,0,0,0,0,0,0,0
64786,0,0,0,0,0,0,0
64823,0,0,0,0,0,0,0
65012,0,0,0,0,0,0,0
66353,0,0,0,0,0,0,0
71984,0,0,0,0,0,0,0
71985,0,0,0,0,0,0,0
71986,0,0,0,0,0,0,0
72023,0,0,0,0,0,0,0
72212,0,0,0,0,0,0,0
73553,0,0,0,0,0,0,0
79184,0,0,0,0,0,0,0
79185,0,0,0,0,0,0,0
79186,0,0,0,0,0,0,0
79223,0,0,0,0,0,0,0
79412,0,0,0,0,0,0,0
80753,0,0,0,0,0,0,0
86384,0,0,0,0,0,0,0
86385,0,0,0,0,0,0,0
86386,0,0,0,0,0,0,0
