step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
14402,0,0,0,0,0,0,0
14403,0,0,0,0,0,0,0
14404,0,0,0,0,0,0,0
14405,0,0,0,0,0,0,0
14764,0,0,0,0,0,0,1
21596,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21599,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21624,0,0,0,0,0,0,1
21934,0,0,0,0,0,0,1
21956,0,0,0,0,0,0,0
22477,0,0,0,0,0,0,1
22641,0,0,0,0,0,0,1
22663,0,0,0,0,0,0,1
25996,0,0,0,0,0,0,1
28777,0,0,0,0,0,0,0
28816,0,0,0,0,0,0,0
29126,0,0,0,0,0,0,0
29698,0,0,0,0,0,0,1
29837,0,0,0,0,0,0,0
29859,0,0,0,0,0,0,0
33192,0,0,0,0,0,0,0
35973,0,0,0,0,0,0,0
36012,0,0,0,0,0,0,0
36898,0,0,0,0,0,0,0
36942,0,0,0,0,0,0,1
37033,0,0,0,0,0,0,0
37055,0,0,0,0,0,0,0
40388,0,0,0,0,0,0,0
43169,0,0,0,0,0,0,0
43208,0,0,0,0,0,0,0
44142,0,0,0,0,0,0,0
44233,0,0,0,0,0,0,0
44255,0,0,0,0,0,0,0
45861,0,0,0,0,0,0,1
47584,0,0,0,0,0,0,0
50408,0,0,0,0,0,0,0
51342,0,0,0,0,0,0,0
51433,0,0,0,0,0,0,0
51455,0,0,0,0,0,0,0
53061,0,0,0,0,0,0,0
54784,0,0,0,0,0,0,0
57608,0,0,0,0,0,0,0
58542,0,0,0,0,0,0,0
58633,0,0,0,0,0,0,0
58655,0,0,0,0,0,0,0
60261,0,0,0,0,0,0,0
61984,0,0,0,0,0,0,0
64808,0,0,0,0,0,0,0
65381,0,0,0,0,0,0,1
65738,0,0,0,0,0,0,0
65855,0,0,0,0,0,0,0
67461,0,0,0,0,0,0,0
69184,0,0,0,0,0,0,0
72008,0,0,0,0,0,0,0
72581,0,0,0,0,0,0,0
72938,0,0,0,0,0,0,0
73055,0,0,0,0,0,0,0
74661,0,0,0,0,0,0,0
76384,0,0,0,0,0,0,0
77749,0,0,0,0,0,0,1
79204,0,0,0,0,0,0,0
79248,0,0,0,0,0,0,1
79773,0,0,0,0,0,0,0
80130,0,0,0,0,0,0,0
80247,0,0,0,0,0,0,0
83580,0,0,0,0,0,0,0
84945,0,0,0,0,0,0,0
86448,0,0,0,0,0,0,0
86973,0,0,0,0,0,0,0
87330,0,0,0,0,0,0,0
87447,0,0,0,0,0,0,0
90780,0,0,0,0,0,0,0
92000,0,0,0,0,0,0,1
92141,0,0,0,0,0,0,0
93552,0,0,0,0,0,0,1
93640,0,0,0,0,0,0,0
94116,0,0,0,0,0,0,1
94161,0,0,0,0,0,0,0
94518,0,0,0,0,0,0,0
94635,0,0,0,0,0,0,0
95640,1,1,1,0,0,0,1
96280,1,1,1,0,0,0,1
97865,0,0,0,0,0,0,1
98360,1,0,0,0,0,0,1
98404,0,0,0,0,0,0,1
99240,1,0,0,0,0,0,1
100772,1,0,0,0,0,0,1
100845,0,0,0,0,0,0,1
100936,0,0,0,0,0,0,1
101337,0,0,0,0,0,0,0
101620,1,0,0,0,0,0,1
101690,0,0,0,0,0,0,0
101734,0,0,0,0,0,0,1
101803,0,0,0,0,0,0,0
102305,0,0,0,0,0,0,1
102396,0,0,0,0,0,0,1
103328,0,0,0,0,0,0,1
103419,1,0,0,0,0,0,1
103604,1,0,0,0,0,0,1
103796,0,0,0,0,0,0,1
104727,1,0,0,0,0,0,1
104768,1,0,0,0,0,0,1
105225,0,0,0,0,0,0,1
108125,1,0,0,0,0,0,1
108501,0,0,0,0,0,0,0
108738,1,0,0,0,0,0,1
108828,1,0,0,0,0,0,1
109547,0,0,0,0,0,0,1
109732,0,0,0,0,0,0,1
109948,0,0,0,0,0,0,1
110038,1,0,0,0,0,0,1
115317,0,0,0,0,0,0,0
115693,0,0,0,0,0,0,0
116747,0,0,0,0,0,0,0
116932,0,0,0,0,0,0,0
117148,0,0,0,0,0,0,0
117238,0,0,0,0,0,0,0
122517,0,0,0,0,0,0,0
122893,0,0,0,0,0,0,0
