id,group,learner,statistic,action_mode,human_arm,machine_arm,n_seeds_human,n_seeds_machine,episodes_per_seed,human_counts,machine_counts,human_rate,machine_rate,delta,perm_p,perm_exact,mde_80,ci_lo,ci_hi,sd_human,sd_machine,p_rope,p_gt0,bf01,post_mean,post_lo,post_hi,prior_flip,verdict,status,provisional,note,source,bank_stamp,evaluator,dead_human,dead_machine,rescored_from,rescore_in_flight,incomplete_cells,incomplete_detail,seed_shortfall,withdrawn,effect_size_only,prior_range
pick_rnd30_dp,Pick (rnd30),Diffusion Policy,picked,sampled,"dH (pruned, 58)",dDP (58),10,10,30,18 18 18 14 13 15 12 16 17 15,17 14 13 15 12 15 11 15 16 12,0.52,0.4667,0.0533,0.123,exact,0.091,-0.0112,0.1179,0.0724,0.0648,0.9081,0.8464,35.49,0.0529,-0.0388,0.1386,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=in",equivalent (PRIOR-SENSITIVE),OK,,"LAST checkpoint. DP has no mode cell; sampled is its statistic of record. Four of ten sweep dirs per arm were pruned by the disk fix, so the counts come from sweep/HEADLINE.txt; the six surviving sweep.json seeds agree exactly.",cluster:dp_headline + cluster:dp_headline,UNSTAMPED,sweep/HEADLINE.txt,0,0,,,0,,,,False,0.893-0.911
pick_rnd30_rlpd,Pick (rnd30),RLPD,picked,mode,"dHv2raw (raw, 66)",dDPv2 (raw-matched),8,8,30,23 20 18 20 18 2* 24 19,18 20 19 20 19 0* 20 20,0.6,0.5667,0.0333,0.6457,exact,0.3448,-0.2121,0.2788,0.2275,0.2303,0.5953,0.6086,5.281,0.0388,-0.1853,0.2617,stable,INCONCLUSIVE (underpowered),OK,,"LAST. ""mode"" here is a true deterministic action (tanh of the mean). One dead seed per arm (human s65 2/30, machine s55 0/30). This is the CELL_STATUS comparator; see pick_rnd30_rlpd_frozen for the RESULTS-doc comparator.",cluster:rlpd + cluster:rlpd,UNSTAMPED,eval_sweep.sh/wandb_eval.py,1,1,,,0,,,,False,0.556-0.649
pick_rnd30_rlpd_frozen,Pick (rnd30),RLPD,picked,mode,"dHv2raw (raw, 66)","dDP (frozen, 58)",8,8,30,23 20 18 20 18 2* 24 19,18 19 17 19 20 0* 20 11,0.6,0.5167,0.0833,0.4852,exact,0.3448,-0.1621,0.3288,0.2275,0.2303,0.5154,0.7328,3.818,0.0773,-0.1495,0.2972,stable,INCONCLUSIVE (underpowered),OK,,"SAME human arm, DIFFERENT machine arm: the frozen dDP set. This is the pairing printed in RESULTS_WM_HUMAN_VS_MACHINE §2 (0.600 v 0.517). Both pairings reproduce from the cluster; they are different comparators, not a discrepancy.",cluster:rlpd + cluster:rlpd,UNSTAMPED,eval_sweep.sh/wandb_eval.py,1,1,,,0,,,,False,0.486-0.551
pick_rnd30_r2d_mode,Pick (rnd30),world model (r2dreamer),picked,mode,"dHv2raw (raw, 66)",dDP (58),8,8,30,15 19 19 19 21 17 20 18,20 18 18 18 16 19 19 18,0.6167,0.6083,0.0083,0.8752,exact,0.0777,-0.047,0.0636,0.0617,0.0388,0.9723,0.4898,125.9,0.0083,-0.0776,0.0963,stable,equivalent at +/-0.10,OK,,"LAST, recipe bnormclamp1ent5. ""mode"" is the world model's mode-action cell -- NOT deterministic: r2dreamer samples a latent inside the policy call.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.958-0.974
pick_rnd30_r2d_sample,Pick (rnd30),world model (r2dreamer),picked,sampled,"dHv2raw (raw, 66)",dDP (58),8,8,30,16 20 20 18 19 16 18 20,20 17 19 19 20 20 16 20,0.6125,0.6292,-0.0167,0.641,exact,0.0814,-0.0746,0.0412,0.0562,0.0518,0.9642,0.2858,96.57,-0.0165,-0.1106,0.0752,stable,equivalent at +/-0.10,OK,,"The sampled row. This is the row dv3 must be compared against, not the mode row.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.950-0.966
pick_rnd30_dv3,Pick (rnd30),world model (dv3),picked,sampled,"dHv2raw (raw, 66)",dDP (58),2,2,30,21 21,19 19,0.7,0.6333,0.0667,0.3333,exact,nan,nan,nan,0.0,0.0,0.57,0.6955,4.76,0.0605,-0.1719,0.2819,stable,inconclusive,PROVISIONAL,"n = 2 v 2 (G3 seeds 2/3 still running); the permutation test floor at this n is p = 0.333, so it has no power. dv3 cells are SAMPLED (the sidecar ""deterministic"" label is a known mislabel) and belong against the r2dreamer SAMPLED row, 0.613 v 0.629.","Second world-model implementation; its value is that the return_clamp diagnosis reproduces on an independent port, not the number.",cluster:dv3 + cluster:dv3,UNSTAMPED,dv3/eval,0,0,,,0,,2v2 of 4v4 registered,,False,0.521-0.609
pick_spots60_dp,"Pick (spots60, in-distribution)",Diffusion Policy,picked,sampled,"dH (pruned, 58)",dDP (58),10,10,60,53 58 52 53 52 53 51 55 50 50,50 53 49 55 52 53 54 55 52 51,0.8783,0.8733,0.005,0.8448,exact,0.049,-0.0297,0.0397,0.0401,0.0335,1.0,0.5128,74030.0,0.005,-0.0358,0.0461,stable,equivalent at +/-0.10,PROVISIONAL,"Hardware-pinned seeds only. Five human seeds (25-29) were archived to selected_spots60_mixedcore pending pinned re-runs, so this row reproduces from FIVE human seeds against ten machine seeds. The published 0.878 is the ten-seed figure including the archived five.",Selected checkpoint. In-training-distribution starts: the strongest null in the project because both arms sit near ceiling rather than near a floor.,cluster:dp + cluster:dp,UNSTAMPED,eval_sweep.sh/wandb_eval.py,0,0,,,0,,,,False,0.999-1.000
pick_spots60_rlpd,"Pick (spots60, in-distribution)",RLPD,picked,mode,"dHv2raw (raw, 66)",dDPv2 (raw-matched),8,8,60,58 59 58 60 59 3* 60 59,59 60 58 60 58 2* 59 59,0.8667,0.8646,0.0021,1.0,exact,0.5019,-0.3552,0.3594,0.3302,0.3361,0.6682,0.4989,7.232,0.0031,-0.2087,0.2154,stable,INCONCLUSIVE (underpowered),PROVISIONAL,"Hardware-pinned seeds only: two human seeds (60, 61) are archived to final_det_spots60_mixedcore, so this is 6 v 8. The published 0.869 is the eight-seed figure including the archived two.","LAST, deterministic.",cluster:rlpd + cluster:rlpd,UNSTAMPED,eval_sweep.sh/wandb_eval.py,1,1,,,0,,,,False,0.623-0.724
pick_spots60_rlpd_sampled,"Pick (spots60, in-distribution)",RLPD,picked,sampled,"dHv2raw (raw, 66)",dDPv2 (raw-matched),8,8,60,57 59 60 58 57 4* 58 59,59 57 57 58 56 1* 58 58,0.8583,0.8417,0.0167,0.5568,exact,0.4927,-0.3341,0.3674,0.3203,0.3337,0.6122,0.6491,5.668,0.0447,-0.1717,0.2626,stable,INCONCLUSIVE (underpowered),OK,,"The SAMPLED in-distribution cell, at full pinned seeds. Sampled is the statistic the project adopted for the online learners on 2026-09-07, so this is the in-distribution row to read for RLPD.",cluster:rlpd + cluster:rlpd,UNSTAMPED,eval_sweep.sh/wandb_eval.py,1,1,,,0,,,,False,0.564-0.670
pick_spots60_r2d,"Pick (spots60, in-distribution)",world model (r2dreamer),picked,mode,"dHv2raw (raw, 66)",dDP (58),0,0,,,,,,,,,,,,,,,,,,,,,Not run. The world model has no spots60 evaluation; the in-distribution row exists for DP and RLPD only. No per-seed data on the cluster for this cell.,EMPTY,,,,,,0,0,,,0,,,,False,
prune_dp_rnd30,Pruning control (human pruned vs human raw),Diffusion Policy,picked,sampled,dH PRUNED (58),dHv2raw RAW (66),10,8,30,18 19 18 14 13 15 16 16 18 17,9 9 7 5 10 5 5 7,0.5467,0.2375,0.3092,0.0,exact,0.0938,0.2425,0.3758,0.0652,0.0677,0.0,1.0,6.579e-05,0.306,0.2225,0.3869,stable,difference detected,PROVISIONAL,"The two arms differ in wave AND in demonstration count (58 pruned vs 66 raw), so this is a pruned-set-vs-raw-set contrast, not a controlled pruning-only manipulation. The direction and magnitude are the point.","Random starts, selected checkpoint. ""Delta"" here is pruned minus raw.",cluster:dp + cluster:dp,UNSTAMPED,eval_sweep.sh/wandb_eval.py,0,0,,,0,,,,False,0.000-0.000
prune_dp_spots60,Pruning control (human pruned vs human raw),Diffusion Policy,picked,sampled,dH PRUNED (58),dHv2raw RAW (66),10,8,60,53 58 52 53 52 53 51 55 50 50,40 44 45 35 48 40 38 40,0.8783,0.6875,0.1908,0.0,exact,0.0777,0.1356,0.246,0.0401,0.0694,0.0022,1.0,0.008017,0.1902,0.1333,0.249,stable,difference detected,PROVISIONAL,"Same wave/count caveat as prune_dp_rnd30. The human pruned arm here is the ten-seed as-published set (five pinned + five archived mixed-core), matching the in-distribution table this figure was quoted from.","IN-TRAINING-DISTRIBUTION starts. This is the cell behind the quoted ""raw costs 0.19"": pruned 0.878 against raw 0.688.",cluster:dp + cluster:dp,UNSTAMPED,eval_sweep.sh/wandb_eval.py,0,0,,,0,,,,False,0.002-0.005
place_r2d,Place (matched 39),world model (r2dreamer),placed_v2,mode,dH_place (39),dDP_place_n39 (39),8,8,148,113 88 112 112 84 108 114 116,107 91 104 111 92 87 91 89,0.7154,0.652,0.0633,0.112,exact,0.1122,-0.0165,0.1432,0.0846,0.0628,0.8079,0.9213,15.1,0.0637,-0.017,0.1425,stable,inconclusive,OK,,"NUMBER OF RECORD. The 2026-09-08 re-score on the rebuilt entry bank (physgrip_2026-09-07), with entry pinning and hardware pinned. Prefer this over the as-recorded row below, which is kept so the size of the correction is visible.",cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,place_r2d_asrecorded,,0,,,,False,0.808-0.840
place_r2d_asrecorded,Place (matched 39),world model (r2dreamer),placed_v2,mode,dH_place (39),dDP_place_n39 (39),8,8,148,113 86 112 112 82 99 110 118,109 79 111 105 90 79 95 98,0.7027,0.647,0.0557,0.2266,exact,0.1324,-0.0385,0.15,0.0912,0.0844,0.822,0.8522,16.58,0.0554,-0.0349,0.1484,stable,inconclusive,PROVISIONAL,SUPERSEDED by place_r2d. Drew bank entries WITH REPLACEMENT and substituted failed restores; unpinned hardware. Kept visible only so the correction can be inspected.,The 0.703 v 0.647 published in PHASE_RESULTS 2.y.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.823-0.830
place_r2d_sample,Place (matched 39),world model (r2dreamer),placed_v2,sampled,dH_place (39),dDP_place_n39 (39),8,8,148,109 91 109 113 81 109 112 114,107 85 110 111 89 89 90 91,0.7078,0.652,0.0557,0.2059,exact,0.1165,-0.0272,0.1387,0.0813,0.0731,0.8514,0.8794,20.57,0.0553,-0.0323,0.1376,stable,inconclusive,OK,,The sampled cell of the same re-score. This is where the correction moves the DIFFERENCE most: see the re-score movement table.,cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,place_r2d_sample_asrecorded,,0,,,,False,0.852-0.858
place_r2d_sample_asrecorded,Place (matched 39),world model (r2dreamer),placed_v2,sampled,dH_place (39),dDP_place_n39 (39),8,8,148,113 82 110 109 77 103 111 109,104 92 112 104 97 88 101 100,0.6875,0.674,0.0135,0.7433,exact,0.1149,-0.0683,0.0953,0.0952,0.0507,0.9723,0.5725,126.0,0.0155,-0.0672,0.0978,stable,equivalent at +/-0.10,PROVISIONAL,SUPERSEDED by place_r2d_sample; same defects as place_r2d_asrecorded.,,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.971-0.975
place_symmetry_r2d,Place (matched 39),world model (r2dreamer),placed_v2,mode,dH_place (39),dDP_place_n39 (39),8,8,149,122 91 110 101 75 104 110 116,106 79 107 104 88 86 85 88,0.6955,0.6233,0.0721,0.1294,exact,0.1324,-0.0221,0.1664,0.1001,0.0737,0.7042,0.9161,8.547,0.0726,-0.0178,0.166,stable,inconclusive,OK,,"SYMMETRY CONTROL. Identical contrast to place_r2d, but scored on the bank of entry states generated by the MACHINE policy rather than the human one. It tests whether the place result is an artefact of whose policy produced the evaluation entries. It is not: the difference moves from +0.063 on the human-origin bank to +0.072 here, a BANK-OF-ORIGIN TERM OF 0.009 - an order of magnitude below the equivalence margin. Both banks give the same answer.",cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,,,0,,,,False,0.703-0.748
place_dp,Place (matched 39),Diffusion Policy,placed_v2,sampled,dH_place (39),dDP_place_n39 (39),8,7,148,92 89 96 91 94 89 84 94,75 72 68 78 70 73 69,0.6157,0.4875,0.1283,0.0002,exact,0.039,0.1005,0.156,0.0256,0.0239,0.1754,1.0,0.7637,0.128,0.0793,0.1762,stable,difference detected,OK,,,cluster:phase_clone + cluster:phase_clone,physgrip_2026-09-07,baselines/eval_place.py|eval_e2e.py,0,0,,,0,,8v7 of 8v8 registered,,False,0.077-0.178
place_rlpd,Place (matched 39),RLPD,placed_v2,mode,dH_place (39),dDP_place_n39 (39),8,6,148,129 30 130 126 4* 129 124 119,125 126 127 125 131 127,0.6681,0.857,-0.1889,0.2914,exact,0.4351,-0.4996,0.1218,0.3455,0.0151,0.3637,0.1569,2.052,-0.1103,-0.351,0.1694,stable,INCONCLUSIVE (underpowered),PROVISIONAL,"PARTIAL: the 32-run place batch is still filling, so this is far short of the registered 8 v 8. Scored on the REBUILT physgrip_2026-09-07 entry bank, which is NOT the bank the world-model place cells used.",Reported alone. See the row header for why it may not be read beside the world-model place cell.,cluster:phase_clone + cluster:phase_clone,physgrip_2026-09-07,baselines/eval_place.py|eval_e2e.py,1,0,,,0,,8v6 of 8v8 registered,,False,0.029-0.365
contact_r2d_bare,Contact (matched 11),world model (r2dreamer),contact (legacy),mode,dH sub-floor (11),dDP_n11 (11),8,8,160,97 88 64 108 97 93 79 117,104 90 94 99 88 112 86 93,0.5805,0.5984,-0.018,0.6895,exact,0.1242,-0.1064,0.0704,0.1028,0.055,0.9672,0.2699,106.0,-0.0164,-0.1083,0.0744,stable,equivalent at +/-0.10,PROVISIONAL,Both arms are sub-floor (11 demonstrations each).,LEGACY predicate: overstates capability 1.5-3x against contact_push. Read contact_r2d_push instead.,cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,contact_r2d_bare_asrecorded,,0,,,,False,0.949-0.971
contact_r2d_bare_asrecorded,Contact (matched 11),world model (r2dreamer),contact (legacy),mode,dH sub-floor (11),dDP_n11 (11),8,8,160,95 91 79 117 101 88 76 112,103 91 94 92 100 115 85 90,0.593,0.6016,-0.0086,0.8415,exact,0.1158,-0.091,0.0739,0.0912,0.0592,0.9796,0.3342,172.7,-0.0075,-0.0927,0.0754,stable,equivalent at +/-0.10,PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",LEGACY predicate: overstates capability 1.5-3x against contact_push. Read contact_r2d_push instead.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.967-0.982
contact_r2d_push,Contact (matched 11),world model (r2dreamer),contact_push,mode,dH sub-floor (11),dDP_n11 (11),8,8,160,54 46 41 63 61 60 61 62,61 59 60 57 55 64 53 55,0.35,0.3625,-0.0125,0.5694,exact,0.0603,-0.0554,0.0304,0.0518,0.0229,0.9997,0.1479,11760.0,-0.0126,-0.0549,0.0361,stable,equivalent at +/-0.10,PROVISIONAL,Both arms are sub-floor (11 demonstrations each).,"contact_push is the DISCRIMINATING contact predicate: it requires the tool point to push the can, where bare contact does not.",cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,contact_r2d_push_asrecorded,,0,,,,False,0.998-1.000
contact_r2d_push_asrecorded,Contact (matched 11),world model (r2dreamer),contact_push,mode,dH sub-floor (11),dDP_n11 (11),8,8,160,46 49 54 61 59 60 52 62,64 62 57 60 61 63 49 52,0.3461,0.3656,-0.0195,0.3082,exact,0.0538,-0.0579,0.0188,0.0375,0.0339,0.9998,0.0768,14390.0,-0.0195,-0.0559,0.0183,stable,equivalent at +/-0.10,PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.","contact_push is the DISCRIMINATING contact predicate: it requires the tool point to push the can, where bare contact does not.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.999-1.000
carry_r2d_bare,Carrycontact (matched 21),world model (r2dreamer),contact (legacy),mode,dH (21),dDP_n21 (21),8,8,148,114 124 123 119 116 120 123 119,118 117 115 118 124 117 117 117,0.8091,0.7965,0.0127,0.281,exact,0.0318,-0.0099,0.0353,0.0239,0.0179,1.0,0.6476,556400.0,0.0126,-0.0248,0.0496,stable,equivalent at +/-0.10,OK,,LEGACY predicate; read carry_r2d_push instead.,cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,carry_r2d_bare_asrecorded,,0,,,,False,1.000-1.000
carry_r2d_bare_asrecorded,Carrycontact (matched 21),world model (r2dreamer),contact (legacy),mode,dH (21),dDP_n21 (21),8,8,148,116 124 120 120 115 121 123 116,117 119 114 119 123 115 116 119,0.8066,0.7956,0.011,0.3479,exact,0.0319,-0.0117,0.0337,0.0228,0.0194,1.0,0.6081,656500.0,0.011,-0.0248,0.0399,stable,equivalent at +/-0.10,PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",LEGACY predicate; read carry_r2d_push instead.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,1.000-1.000
carry_r2d_push,Carrycontact (matched 21),world model (r2dreamer),contact_push,mode,dH (21),dDP_n21 (21),8,8,148,81 30 31 25 46 41 41 19,35 44 35 34 46 18 37 37,0.2652,0.2416,0.0236,0.7239,exact,0.1504,-0.0834,0.1307,0.1293,0.0568,0.9351,0.5733,51.77,0.0161,-0.0869,0.1176,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=in",equivalent (PRIOR-SENSITIVE),OK,,The discriminating contact predicate on the carrycontact scope.,cluster:wm + cluster:wm,physgrip_2026-09-07,wm/eval_genesis.py,0,0,carry_r2d_push_asrecorded,,0,,,,False,0.879-0.944
