comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_rnd30_dp,human,dH,20,18,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s20/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,21,18,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s21/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,22,18,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s22/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,23,14,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s23/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,24,13,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s24/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,25,15,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s25/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,26,12,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s26/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,27,16,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s27/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,28,17,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s28/sweep/HEADLINE.txt
pick_rnd30_dp,human,dH,29,15,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s29/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,20,17,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s20/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,21,14,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s21/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,22,13,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s22/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,23,15,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s23/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,24,12,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s24/sweep/HEADLINE.txt
pick_rnd30_dp,machine,dDP,25,15,30,HEADLINE/final/rnd,picked,sample,cluster:dp_headline,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s25/sweep/HEADLINE.txt
