source,learner,phase,run,arm,seed,cell,action_mode,statistic,k,n,n_expected,bank_version,bank_sha,evaluator,path,extra
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,020000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/020000/sweep.json,wave=dp_final;ckpt=020000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,040000/sel,sample,picked,14,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/040000/sweep.json,wave=dp_final;ckpt=040000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,060000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/060000/sweep.json,wave=dp_final;ckpt=060000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,080000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/080000/sweep.json,wave=dp_final;ckpt=080000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,100000/sel,sample,picked,14,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/100000/sweep.json,wave=dp_final;ckpt=100000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,selected/hold,sample,picked,14,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/selected/sweep.json,wave=dp_final;ckpt=100000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s10,dDP,10,selected/rnd,sample,picked,16,30,30,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s10/sweep/selected/sweep.json,wave=dp_final;ckpt=100000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s11,dDP,11,020000/sel,sample,picked,8,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s11/sweep/020000/sweep.json,wave=dp_final;ckpt=020000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s11,dDP,11,040000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s11/sweep/040000/sweep.json,wave=dp_final;ckpt=040000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s11,dDP,11,060000/sel,sample,picked,11,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s11/sweep/060000/sweep.json,wave=dp_final;ckpt=060000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s11,dDP,11,080000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s11/sweep/080000/sweep.json,wave=dp_final;ckpt=080000
cluster:dp,DiffusionPolicy,pick,dDP_DP_s11,dDP,11,100000/sel,sample,picked,13,15,15,,,eval_sweep.sh/wandb_eval.py,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_final/dDP_DP_s11/sweep/100000/sweep.json,wave=dp_final;ckpt=100000
