condition,arm,criterion,k,n,rate,wilson_lo,wilson_hi,n_undetermined,n_seeds_total
dreamer_local,human,train_roll30_home_ge0.5,4,4,1.0,0.5101091634281154,1.0,0,4
dreamer_local,human,eval_rnd30_any_home,4,4,1.0,0.5101091634281154,1.0,0,4
dreamer_local,machine,train_roll30_home_ge0.5,4,4,1.0,0.5101091634281154,1.0,0,4
dreamer_local,machine,eval_rnd30_any_home,4,4,1.0,0.5101091634281154,1.0,0,4
dreamer_cluster,human,train_roll30_home_ge0.5,12,12,1.0,0.7575059932585454,0.9999999999999999,0,12
dreamer_cluster,human,eval_rnd30_any_home,12,12,1.0,0.7575059932585454,0.9999999999999999,0,12
dreamer_cluster,machine,train_roll30_home_ge0.5,12,12,1.0,0.7575059932585454,0.9999999999999999,0,12
dreamer_cluster,machine,eval_rnd30_any_home,12,12,1.0,0.7575059932585454,0.9999999999999999,0,12
r2dreamer_cluster,human,train_roll30_home_ge0.5,12,12,1.0,0.7575059932585454,0.9999999999999999,3,15
r2dreamer_cluster,human,eval_rnd30_any_home,7,7,1.0,0.6456695648259365,1.0,8,15
r2dreamer_cluster,machine,train_roll30_home_ge0.5,13,13,1.0,0.7719046275631658,1.0,2,15
r2dreamer_cluster,machine,eval_rnd30_any_home,7,7,1.0,0.6456695648259365,1.0,8,15
rlpd_cluster,human,train_roll30_home_ge0.5,0,0,,nan,nan,0,2
rlpd_cluster,human,eval_rnd30_any_home,0,2,0.0,0.0,0.6576197725990219,0,2
rlpd_cluster,machine,train_roll30_home_ge0.5,0,0,,nan,nan,0,2
rlpd_cluster,machine,eval_rnd30_any_home,1,2,0.5,0.09453120570165269,0.9054687942983473,0,2
dreamer_ramp_control,human,train_roll30_home_ge0.5,1,1,1.0,0.20654931430031864,1.0,0,1
dreamer_ramp_control,human,eval_rnd30_any_home,1,1,1.0,0.20654931430031864,1.0,0,1
dreamer_ramp_control,machine,train_roll30_home_ge0.5,1,1,1.0,0.20654931430031864,1.0,0,1
dreamer_ramp_control,machine,eval_rnd30_any_home,1,1,1.0,0.20654931430031864,1.0,0,1
