learner,dataset,n_stat,n_design,n_training_record,mean_home,home_ci_lo,home_ci_hi,mean_picked,picked_ci_lo,picked_ci_hi,n_picked,seeds_with_stat,seeds_missing,statistic,interim
{DreamerV3 losses},human,8,8,8,0.3041666666666667,0.20411458333333332,0.4,0.6541666666666667,0.6291145833333334,0.68125,8,8 9 10 11 12 13 14 15,,mean rnd30_mode home at 1.5M & 2M,False
{DreamerV3 losses},machine,8,8,8,0.35625,0.2624479166666666,0.45005208333333313,0.6541666666666667,0.6291666666666667,0.6833333333333333,8,8 9 10 11 12 13 14 15,,mean rnd30_mode home at 1.5M & 2M,False
{DreamerV3 losses},planner72,7,8,8,0.04523809523809524,0.0023809523809523807,0.11904761904761907,0.37619047619047613,0.21666666666666673,0.5238690476190473,7,0 1 2 3 4 5 6,7,mean rnd30_mode home at 1.5M & 2M,True
{DreamerV3 losses},r2teacher,1,8,5,0.43333333333333335,,,0.5666666666666667,,,1,6,0 1 2 3 4 5 7,mean rnd30_mode home at 1.5M & 2M,True
{r2dreamer},human,8,8,8,0.5958333333333333,0.5541666666666667,0.6333333333333333,0.6958333333333333,0.6708333333333332,0.7229166666666667,8,3 4 5 6 7 8 9 10,,mean rnd30_mode home at 1.5M & 2M,False
{r2dreamer},machine,8,8,8,0.5645833333333332,0.48958333333333326,0.6166666666666667,0.6812499999999999,0.6520833333333333,0.7041666666666666,8,3 4 5 6 7 8 9 10,,mean rnd30_mode home at 1.5M & 2M,False
{r2dreamer},planner72,7,8,8,0.5714285714285713,0.5190476190476191,0.6142857142857142,0.692857142857143,0.6690476190476191,0.7119047619047619,7,0 1 2 3 4 5 6,7,mean rnd30_mode home at 1.5M & 2M,True
{r2dreamer},r2teacher,2,8,4,0.65,0.6166666666666667,0.6833333333333333,0.7666666666666666,0.7666666666666666,0.7666666666666666,2,2 7,0 1 3 4 5 6,mean rnd30_mode home at 1.5M & 2M,True
{RLPD},human,8,8,8,0.0,0.0,0.0,0.11666666666666667,0.0625,0.17083333333333334,8,0 1 2 3 4 5 6 7,,250k rnd30_mode home,False
{RLPD},machine,8,8,8,0.125,0.0125,0.2708333333333333,0.37083333333333335,0.175,0.55,8,0 1 2 3 4 5 6 7,,250k rnd30_mode home,False
{RLPD},planner72,2,8,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0 1,2 3 4 5 6 7,250k rnd30_mode home,True
{RLPD},r2teacher,1,8,5,0.03333333333333333,,,0.1,,,1,5,0 1 2 3 4 6 7,250k rnd30_mode home,True
{Diffusion Policy},human,4,8,4,0.025,0.0,0.05,0.3416666666666667,0.29166666666666663,0.36666666666666664,4,0 1 2 3,4 5 6 7,rnd30_sample home,True
{Diffusion Policy},machine,4,8,4,0.016666666666666666,0.0,0.05,0.30833333333333335,0.23333333333333334,0.35833333333333334,4,0 1 2 3,4 5 6 7,rnd30_sample home,True
{Diffusion Policy},planner72,2,8,3,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.6333333333333333,2,5 6,0 1 2 3 4 7,rnd30_sample home,True
{Diffusion Policy},r2teacher,1,8,3,0.6,,,0.6666666666666666,,,1,0,1 2 3 4 5 6 7,rnd30_sample home,True
