learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{DreamerV3 losses},human,8,True,0.43333333333333335,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,9,True,0.3666666666666667,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,10,True,0.1,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,11,True,0.7,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,12,True,0.13333333333333333,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,13,True,0.8,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,14,True,0.6333333333333333,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},human,15,True,0.6,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,8,True,0.6,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,9,True,0.3,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,10,True,0.43333333333333335,0.8666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,11,True,0.5333333333333333,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,12,True,0.4666666666666667,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,13,True,0.7666666666666666,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_2000000/hold15_mode/metrics.json,
{DreamerV3 losses},machine,14,True,0.1,1.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_1500000/hold15_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_2000000/hold15_mode/metrics.json,
