learner,dataset,seed,in_design,run,training_record,home,picked,cells,excluded_reason
{DreamerV3 losses},human,0,False,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,1,False,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,2,False,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,3,False,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,4,False,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,5,False,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,6,False,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,7,False,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},human,8,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,True,0.25,0.6166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,9,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,True,0.25,0.7166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,10,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,True,0.05,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,11,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,True,0.4,0.6166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,12,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,True,0.13333333333333333,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,13,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,True,0.5,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,14,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,True,0.48333333333333334,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},human,15,True,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,True,0.36666666666666664,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,0,False,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,1,False,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,2,False,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,3,False,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,4,False,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,5,False,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,6,False,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,7,False,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,True,,,,no rnd30_mode cell at 1500k
{DreamerV3 losses},machine,8,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,True,0.4,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,9,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,True,0.19999999999999998,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,10,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,True,0.3,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,11,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,True,0.36666666666666664,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,12,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,True,0.4,0.7333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,13,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,True,0.55,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,14,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,True,0.1,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},machine,15,True,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,True,0.5333333333333333,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},planner72,0,True,full_r2d_state_native_rns10h_img_dreamer_s0,True,0.03333333333333333,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},planner72,1,True,full_r2d_state_native_rns10h_img_dreamer_s1,True,0.0,0.35,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_2000000/rnd30_mode/metrics.json,
{DreamerV3 losses},planner72,2,True,full_r2d_state_native_rns10h_img_dreamer_s2,True,0.26666666666666666,0.6166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s2/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s2/online_2000000/rnd30_mode/metrics.json,
