learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{DreamerV3 losses},human,8,True,0.16666666666666669,0.6166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,9,True,0.3666666666666667,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,10,True,0.016666666666666666,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,11,True,0.5333333333333333,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,12,True,0.08333333333333333,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,13,True,0.4666666666666667,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,14,True,0.44999999999999996,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},human,15,True,0.3666666666666667,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,8,True,0.41666666666666663,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},machine,9,True,0.23333333333333334,0.6,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9/online_2000000/rnd30_sample/metrics.json,
