condition,arm,seed,run,threshold,phase,reference,rise_step_reference,budget,achieved,complete,note,rise_step_phase,lag_steps,status
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,0.5,placed_v2,picked,220552,1000000,996156,True,stopped_at_1M_by_chain,223530,2978,crossed
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,0.5,farside,picked,220552,1000000,996156,True,stopped_at_1M_by_chain,223840,3288,crossed
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,0.5,slide_event,picked,220552,1000000,996156,True,stopped_at_1M_by_chain,259907,39355,crossed
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,0.5,home,picked,220552,1000000,996156,True,stopped_at_1M_by_chain,322681,102129,crossed
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,0.5,tipped,picked,220552,1000000,996156,True,stopped_at_1M_by_chain,141807,-78745,crossed
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,0.5,placed_v2,picked,222239,1000000,992053,True,,278482,56243,crossed
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,0.5,farside,picked,222239,1000000,992053,True,,278482,56243,crossed
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,0.5,slide_event,picked,222239,1000000,992053,True,,346932,124693,crossed
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,0.5,home,picked,222239,1000000,992053,True,,347052,124813,crossed
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,0.5,tipped,picked,222239,1000000,992053,True,,224145,1906,crossed
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,0.5,placed_v2,picked,150752,1000000,992788,True,,231306,80554,crossed
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,0.5,farside,picked,150752,1000000,992788,True,,231306,80554,crossed
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,0.5,slide_event,picked,150752,1000000,992788,True,,335657,184905,crossed
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,0.5,home,picked,150752,1000000,992788,True,,352984,202232,crossed
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,0.5,tipped,picked,150752,1000000,992788,True,,150228,-524,crossed
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,0.5,placed_v2,picked,200903,1000000,999690,True,,226112,25209,crossed
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,0.5,farside,picked,200903,1000000,999690,True,,340131,139228,crossed
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,0.5,slide_event,picked,200903,1000000,999690,True,,361119,160216,crossed
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,0.5,home,picked,200903,1000000,999690,True,,361119,160216,crossed
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,0.5,tipped,picked,200903,1000000,999690,True,,190510,-10393,crossed
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,0.5,placed_v2,picked,200941,1000000,992755,True,,257966,57025,crossed
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,0.5,farside,picked,200941,1000000,992755,True,,311857,110916,crossed
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,0.5,slide_event,picked,200941,1000000,992755,True,,311857,110916,crossed
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,0.5,home,picked,200941,1000000,992755,True,,314168,113227,crossed
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,0.5,tipped,picked,200941,1000000,992755,True,,202013,1072,crossed
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,0.5,placed_v2,picked,162034,1000000,992769,True,,210411,48377,crossed
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,0.5,farside,picked,162034,1000000,992769,True,,291360,129326,crossed
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,0.5,slide_event,picked,162034,1000000,992769,True,,295996,133962,crossed
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,0.5,home,picked,162034,1000000,992769,True,,295996,133962,crossed
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,0.5,tipped,picked,162034,1000000,992769,True,,161037,-997,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,placed_v2,picked,154166,1000000,992440,True,,348894,194728,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,farside,picked,154166,1000000,992440,True,,348894,194728,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,slide_event,picked,154166,1000000,992440,True,,504786,350620,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,home,picked,154166,1000000,992440,True,,504786,350620,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,tipped,picked,154166,1000000,992440,True,,203290,49124,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,placed_v2,picked,200193,1000000,998215,True,,316572,116379,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,farside,picked,200193,1000000,998215,True,,316755,116562,crossed
