condition,arm,seed,run,source,path,origin,nominal_budget,budget_used,achieved_online,episodes,complete,note,x_unit,phases_absent,n_rnd30_cells,n_hold15_cells
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,117624,1000000,1000000,999688,1653,True,,online sim steps,,2,2
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,117624,1000000,1000000,992699,1445,True,,online sim steps,,2,2
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,117624,1000000,1000000,999507,2207,True,,online sim steps,,2,2
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,117624,1000000,1000000,992379,1891,True,,online sim steps,,2,2
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,117624,2000000,2000000,1992758,4186,True,,online sim steps,,4,4
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,117624,2000000,2000000,1999907,3772,True,,online sim steps,,4,4
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,117624,2000000,2000000,1999790,3669,True,,online sim steps,,4,4
dreamer_cluster,human,11,full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s11,117624,2000000,2000000,1999663,5165,True,,online sim steps,,4,4
dreamer_cluster,human,12,full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s12,117624,2000000,2000000,1998777,3377,True,,online sim steps,,4,4
dreamer_cluster,human,13,full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s13,117624,2000000,2000000,1999679,6122,True,,online sim steps,,4,4
dreamer_cluster,human,14,full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s14,117624,2000000,2000000,1999320,4400,True,,online sim steps,,4,4
dreamer_cluster,human,15,full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_dreamer_s15,117624,2000000,2000000,1999712,6467,True,,online sim steps,,4,4
dreamer_cluster,machine,4,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s4,149952,1000000,1000000,999557,2795,True,,online sim steps,,2,2
dreamer_cluster,machine,5,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s5,149952,1000000,1000000,992537,2212,True,,online sim steps,,2,2
dreamer_cluster,machine,6,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s6,149952,1000000,1000000,999552,2106,True,,online sim steps,,2,2
dreamer_cluster,machine,7,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s7,149952,1000000,1000000,992801,1887,True,,online sim steps,,2,2
dreamer_cluster,machine,8,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s8,149952,2000000,2000000,1992570,4149,True,,online sim steps,,4,4
dreamer_cluster,machine,9,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s9,149952,2000000,2000000,1999020,4252,True,,online sim steps,,4,4
dreamer_cluster,machine,10,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s10,149952,2000000,2000000,1999910,4407,True,,online sim steps,,4,4
dreamer_cluster,machine,11,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s11,149952,2000000,2000000,1999870,5181,True,,online sim steps,,4,4
dreamer_cluster,machine,12,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s12,149952,2000000,2000000,1997828,4358,True,,online sim steps,,4,4
dreamer_cluster,machine,13,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s13,149952,2000000,2000000,1999651,6134,True,,online sim steps,,4,4
dreamer_cluster,machine,14,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s14,149952,2000000,2000000,1999709,3528,True,,online sim steps,,4,4
dreamer_cluster,machine,15,full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rns10h_img_dreamer_s15,149952,2000000,2000000,1999603,5276,True,,online sim steps,,4,4
dreamer_local,human,0,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s0,123817,2000000,1000000,996156,2368,True,stopped_at_1M_by_chain,online sim steps,,10,10
dreamer_local,human,1,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s1,124824,1000000,1000000,992053,2152,True,,online sim steps,,11,11
dreamer_local,human,2,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s2,124824,1000000,1000000,992788,2364,True,,online sim steps,,10,10
dreamer_local,human,3,dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dHfull_all_rns10h_img_rlDreamer_s3,117841,1000000,1000000,999690,1971,True,,online sim steps,,10,10
dreamer_local,machine,0,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s0,156697,1000000,1000000,992755,1509,True,,online sim steps,,10,10
dreamer_local,machine,1,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s1,157152,1000000,1000000,992769,2064,True,,online sim steps,,10,10
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,156123,1000000,1000000,992440,2169,True,,online sim steps,,10,10
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,local,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/local/runs_dv3_local/dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,150169,1000000,1000000,998215,1529,True,,online sim steps,,10,10
dreamer_ramp_control,human,0,full_r2d_state_dHfull_all_rnrh_img_dreamer_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rnrh_img_dreamer_s0,117624,1000000,1000000,992652,2069,True,,online sim steps,,2,2
dreamer_ramp_control,machine,0,full_r2d_state_dDPfull_first_rnrh_img_dreamer_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dDPfull_first_rnrh_img_dreamer_s0,149952,1000000,1000000,992234,2161,True,,online sim steps,,2,2
r2dreamer_cluster,human,0,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s0,cluster,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/runs/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s0,117624,1000000,1000000,992706,3915,True,,online sim steps,,2,2
