world,arm,uid,ic_uid,stage,n_rows,sim_steps,path_len,net_disp,wander,idle_frac,idle_frac_7col,leading_idle,trailing_idle,idle_rows,strict_stop_frac,mean_speed,reward_sum,max_sim_steps
old,raw,100000,232,picked,72,287,0.3306,0.1405,0.0301,0.1944,0.0,0,2,14,0.1528,0.00459,1.0,1200
old,raw,100001,244,picked,135,537,0.6859,0.1907,0.0407,0.0963,0.0,0,2,13,0.2074,0.00508,1.0,1200
old,raw,100002,254,picked,198,790,0.6666,0.1149,0.0862,0.0101,0.0,0,2,2,0.2778,0.00337,1.0,1200
old,raw,100003,263,picked,121,483,0.6841,0.1548,0.0728,0.0826,0.0,0,2,10,0.2893,0.00565,1.0,1200
old,raw,100004,276,picked,186,742,0.4411,0.1647,0.0335,0.3495,0.0,0,2,65,0.5699,0.00237,1.0,1200
old,raw,100006,301,picked,167,668,0.4943,0.1298,0.0648,0.1856,0.0,0,1,31,0.1737,0.00296,1.0,1200
old,raw,100008,326,picked,86,343,0.2596,0.1062,0.0451,0.4186,0.0,0,1,36,0.1744,0.00302,1.0,1200
old,raw,101002,255,picked,177,708,0.6356,0.1138,0.0527,0.209,0.0056,0,1,37,0.2599,0.00359,1.0,1200
old,raw,101003,265,picked,222,885,0.4602,0.1607,0.061,0.2658,0.0,0,2,59,0.4775,0.00207,1.0,1200
old,raw,101004,277,picked,75,298,0.289,0.0913,0.0449,0.1867,0.0,0,2,14,0.1467,0.00385,1.0,1200
old,raw,101006,302,picked,172,687,0.527,0.1147,0.0611,0.1628,0.0,0,2,28,0.1163,0.00306,1.0,1200
old,raw,101007,316,picked,216,863,0.8168,0.1373,0.107,0.1713,0.0,0,2,37,0.2083,0.00378,1.0,1200
old,raw,101008,327,picked,168,671,0.7102,0.1821,0.0522,0.256,0.0,0,2,43,0.3452,0.00423,1.0,1200
old,raw,101010,287,picked,494,1975,0.7725,0.0295,0.0693,0.4879,0.0,0,2,241,0.7247,0.00156,1.0,12000
old,raw,101011,315,picked,396,1581,0.9128,0.1622,0.0309,0.298,0.0,0,2,118,0.596,0.00231,1.0,12000
old,raw,102002,256,picked,237,946,1.1917,0.1918,0.0508,0.1435,0.0,0,2,34,0.0886,0.00503,1.0,1200
old,raw,102003,266,picked,184,736,0.3608,0.1086,0.053,0.2446,0.0,0,1,45,0.4185,0.00196,1.0,1200
old,raw,102004,278,picked,74,293,0.4058,0.1974,0.0413,0.1216,0.0,0,2,9,0.1351,0.00548,1.0,1200
old,raw,102006,304,picked,133,531,0.4424,0.1599,0.0601,0.4586,0.0075,0,2,61,0.4962,0.00333,1.0,1200
old,raw,102007,317,picked,112,448,0.3296,0.1218,0.0284,0.2679,0.0,0,1,30,0.3304,0.00294,1.0,1200
old,raw,102009,245,picked,502,2006,1.0541,0.1533,0.0542,0.4163,0.0,0,2,209,0.5697,0.0021,1.0,12000
