dur_s,eef_std_x,eef_std_y,eef_std_z,idle_frac,label,n_cmds,net_disp,path_len,pos,stub,tortuosity,uid,wander
15.3,0.0963,0.079,0.0656,0.3529,success,919,0.2704,1.4249,0,0,5.27,232,0.0871
15.4,0.1117,0.0489,0.0652,0.3892,success,926,0.1905,1.5713,1,0,8.25,233,0.1338
15.0,0.1133,0.055,0.0687,0.2681,success,900,0.2578,1.7466,2,0,6.775,234,0.0824
14.7,0.0809,0.0659,0.0603,0.2911,success,884,0.2244,1.6725,0,0,7.454,235,0.0973
11.3,0.1057,0.0406,0.0733,0.2286,success,679,0.2172,1.5176,1,0,6.987,236,0.0895
13.4,0.113,0.0521,0.0607,0.2943,success,803,0.2565,1.5692,2,0,6.118,237,0.0781
42.5,0.1274,0.0895,0.0709,0.5035,fail,2551,0.1914,3.4244,0,0,17.891,238,0.1238
46.0,0.1085,0.0666,0.0665,0.561,success,2757,0.2018,2.608,1,0,12.925,239,0.1658
25.7,0.0472,0.0461,0.0571,0.5671,fail,1544,0.1315,1.561,2,0,11.874,240,0.0477
17.2,0.0979,0.0622,0.0607,0.3398,success,1031,0.1158,1.857,0,0,16.037,242,0.1537
9.5,0.0799,0.0336,0.0674,0.331,success,572,0.1824,1.1113,1,0,6.093,243,0.0916
17.5,0.0943,0.043,0.0717,0.3543,success,1048,0.2753,1.7042,2,0,6.191,244,0.0592
55.4,0.1308,0.0499,0.0678,0.6714,success,3324,0.4022,2.2785,0,0,5.665,245,0.0583
43.7,0.0778,0.0311,0.0707,0.6819,success,2623,0.2927,1.6915,1,0,5.778,246,0.0717
28.9,0.1201,0.0758,0.0687,0.5749,success,1737,0.3981,1.7619,2,0,4.426,247,0.1112
51.0,0.0788,0.0784,0.0674,0.7283,success,3063,0.2983,1.653,0,0,5.542,248,0.0799
47.5,0.107,0.0408,0.0726,0.6962,fail,2852,0.2567,1.529,0,0,5.957,249,0.0951
55.9,0.1086,0.0883,0.09,0.5925,success,3351,0.2823,3.1332,2,0,11.099,250,0.1116
26.4,0.0833,0.1042,0.057,0.6854,success,1584,0.2772,1.2576,0,0,4.537,251,0.081
25.7,0.0987,0.0447,0.0644,0.6083,success,1543,0.3259,1.6124,1,0,4.947,252,0.0565
19.9,0.0515,0.0747,0.0235,0.7621,fail,1195,0.2004,0.5693,2,0,2.841,253,0.0322
26.9,0.0944,0.0783,0.0673,0.4706,success,1614,0.2569,2.1009,0,0,8.179,254,0.0816
22.9,0.0799,0.0446,0.0631,0.6526,success,1374,0.2893,1.315,1,0,4.545,255,0.0583
36.6,0.106,0.0514,0.0624,0.5983,success,2194,0.3266,2.3076,2,0,7.065,256,0.0734
16.8,0.0915,0.0666,0.0799,0.3317,success,1008,0.1841,1.4893,0,0,8.088,257,0.1042
20.9,0.0979,0.0416,0.083,0.5252,success,1252,0.3067,1.3462,1,0,4.389,258,0.0559
20.1,0.1213,0.062,0.085,0.4719,success,1209,0.3643,1.5397,2,0,4.227,259,0.0882
29.3,0.1132,0.1087,0.0701,0.5708,fail,1760,0.2431,1.7802,0,0,7.322,260,0.1063
23.5,0.1158,0.0707,0.085,0.3969,success,1412,0.3533,1.9036,0,0,5.388,261,0.0966
15.6,0.1297,0.0598,0.0537,0.391,success,937,0.1805,1.6436,1,0,9.105,262,0.1431
17.5,0.1138,0.0642,0.0786,0.4267,success,1051,0.316,1.5331,2,0,4.852,263,0.1105
48.8,0.1031,0.0837,0.0756,0.6191,success,2928,0.3536,1.7342,0,0,4.904,265,0.0768
29.9,0.1115,0.0374,0.084,0.514,success,1791,0.3822,1.3718,1,0,3.59,266,0.0702
29.5,0.1192,0.0749,0.0762,0.4619,success,1772,0.3202,1.5642,2,0,4.886,267,0.0909
84.6,0.1074,0.0774,0.0786,0.7161,fail,5077,0.2225,3.7171,0,0,16.704,268,0.0921
81.0,0.0917,0.066,0.0656,0.6234,success,4857,0.3059,4.7662,0,0,15.578,269,0.1079
61.7,0.0915,0.0597,0.075,0.7651,fail,3700,0.0969,2.0014,1,0,20.648,270,0.1749
24.5,0.0929,0.0624,0.0734,0.6294,success,1469,0.225,1.6033,0,0,7.125,273,0.1394
31.5,0.1227,0.0477,0.0654,0.6227,success,1888,0.3744,1.6638,1,0,4.444,274,0.0512
24.1,0.1153,0.0927,0.0585,0.5374,success,1445,0.3146,1.5482,2,0,4.921,275,0.0923
24.3,0.1202,0.086,0.0616,0.4764,success,1460,0.3279,1.7452,0,0,5.322,276,0.0708
14.2,0.11,0.0381,0.068,0.2966,success,854,0.2808,1.6274,1,0,5.795,277,0.0712
11.2,0.1183,0.0831,0.062,0.2784,success,669,0.2233,1.6073,2,0,7.199,278,0.1154
33.3,0.1098,0.0637,0.0561,0.5593,success,2000,0.2303,2.0376,0,0,8.848,279,0.1155
