world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
old,dH,100000,232,picked,61,0.3275,0.1405,2.332,0.0,0.0338,0.00537,0.0432,0.028,0.0233,1.0
old,dH,100001,247,picked,112,0.514,0.2117,2.428,0.0,0.0632,0.00459,0.0326,0.0648,0.0208,1.0
old,dH,100002,258,picked,74,0.4195,0.0799,5.25,0.0,0.0733,0.00567,0.0484,0.0306,0.0176,1.0
old,dH,100003,273,picked,102,0.3507,0.142,2.47,0.0,0.0588,0.00344,0.0357,0.0217,0.0202,1.0
old,dH,100004,281,picked,119,0.4618,0.1937,2.384,0.0,0.0331,0.00388,0.0338,0.0833,0.0183,1.0
old,dH,100005,298,picked,126,0.3668,0.1061,3.457,0.0,0.0729,0.00291,0.0428,0.0243,0.0154,1.0
old,dH,100006,308,picked,89,0.5332,0.0743,7.174,0.0,0.0863,0.00599,0.0371,0.0349,0.0224,1.0
old,dH,100007,320,picked,197,0.5316,0.1451,3.663,0.0,0.054,0.0027,0.0439,0.0324,0.0251,1.0
old,dH,100008,333,picked,140,0.4456,0.2015,2.211,0.0,0.0696,0.00318,0.0426,0.0468,0.0189,1.0
old,dH,101000,233,picked,66,0.3401,0.1123,3.028,0.0,0.0524,0.00515,0.0393,0.0242,0.0226,1.0
old,dH,101001,248,picked,122,0.4008,0.1426,2.81,0.0,0.0525,0.00329,0.0401,0.0185,0.0212,1.0
old,dH,101002,259,picked,96,0.6019,0.1441,4.178,0.0,0.0965,0.00627,0.0499,0.0619,0.0231,1.0
old,dH,101003,274,picked,125,0.5433,0.1128,4.815,0.0,0.0404,0.00435,0.0485,0.0223,0.0277,1.0
old,dH,101004,283,picked,107,0.3217,0.1446,2.225,0.0,0.0569,0.00301,0.0397,0.0419,0.0173,1.0
old,dH,101006,309,picked,100,0.4569,0.0473,9.659,0.0,0.0908,0.00457,0.0462,0.0151,0.016,1.0
old,dH,101007,321,picked,98,0.3106,0.1095,2.836,0.0,0.0614,0.00317,0.0298,0.0141,0.0191,1.0
old,dH,101008,335,picked,75,0.3755,0.1763,2.13,0.0,0.0508,0.00501,0.0371,0.0394,0.0218,1.0
old,dH,102001,250,picked,284,1.2728,0.2114,6.021,0.0,0.0666,0.00448,0.0535,0.1125,0.0188,1.0
old,dH,102002,262,picked,62,0.3094,0.1224,2.528,0.0,0.0492,0.00499,0.0468,0.0228,0.024,1.0
old,dH,102003,275,picked,108,0.4935,0.1954,2.526,0.0,0.0505,0.00457,0.0305,0.0465,0.0229,1.0
old,dH,102004,284,picked,95,0.2193,0.0731,3.001,0.0,0.0501,0.00231,0.0301,0.0096,0.0147,1.0
old,dH,102006,311,picked,98,0.6268,0.1911,3.28,0.0,0.0519,0.0064,0.0319,0.0712,0.0374,1.0
old,dH,102007,325,picked,116,0.4113,0.1584,2.597,0.0,0.0559,0.00355,0.0354,0.0242,0.0225,1.0
old,dH,103000,235,picked,49,0.3213,0.1318,2.438,0.0,0.0522,0.00656,0.048,0.023,0.021,1.0
old,dH,103001,251,picked,138,0.3638,0.1539,2.364,0.0,0.0516,0.00264,0.0337,0.0322,0.0164,1.0
old,dH,103002,263,picked,105,0.6755,0.1548,4.364,0.0,0.0785,0.00643,0.0387,0.0605,0.0328,1.0
old,dH,103003,276,picked,152,0.4448,0.1646,2.701,0.0,0.039,0.00293,0.0532,0.0672,0.0214,1.0
old,dH,103005,301,picked,151,0.4842,0.1297,3.733,0.0,0.0683,0.00321,0.05,0.0268,0.015,1.0
old,dH,103006,315,picked,219,0.875,0.1622,5.394,0.0,0.0371,0.004,0.0519,0.0427,0.0307,1.0
old,dH,103007,326,picked,77,0.2538,0.1063,2.389,0.0,0.0495,0.0033,0.0265,0.0111,0.0222,1.0
old,dH,104000,242,picked,60,0.4231,0.1623,2.607,0.0,0.0569,0.00705,0.047,0.0233,0.0232,1.0
old,dH,104001,252,picked,192,0.3936,0.1013,3.884,0.0,0.0684,0.00205,0.0498,0.0133,0.0111,1.0
old,dH,104002,265,picked,202,0.446,0.1607,2.775,0.005,0.063,0.00221,0.0423,0.0202,0.0181,1.0
old,dH,104003,277,picked,74,0.2868,0.0913,3.141,0.0,0.0454,0.00388,0.0336,0.006,0.0228,1.0
old,dH,104004,287,picked,201,0.7534,0.0295,25.583,0.0,0.0926,0.00375,0.0531,0.0204,0.0208,1.0
old,dH,104005,302,picked,152,0.5261,0.1147,4.586,0.0,0.0674,0.00346,0.0467,0.0235,0.0121,1.0
old,dH,104006,316,picked,199,0.8137,0.1373,5.927,0.0,0.1081,0.00409,0.0376,0.0448,0.0198,1.0
old,dH,104007,327,picked,131,0.6927,0.1821,3.803,0.0,0.061,0.00529,0.0258,0.0671,0.058,1.0
old,dH,105000,243,picked,46,0.2711,0.1002,2.705,0.0,0.0535,0.00589,0.0402,0.0237,0.0203,1.0
old,dH,105001,254,picked,162,0.6578,0.1148,5.73,0.0,0.0969,0.00406,0.0469,0.0255,0.0216,1.0
old,dH,105002,266,picked,144,0.3362,0.1087,3.095,0.0,0.0548,0.00233,0.0256,0.0086,0.0189,1.0
old,dH,105003,278,picked,70,0.4063,0.1976,2.057,0.0,0.0432,0.0058,0.035,0.0718,0.0232,1.0
old,dH,105005,304,picked,128,0.4404,0.16,2.753,0.0078,0.0619,0.00344,0.0404,0.0372,0.0205,1.0
old,dH,105006,317,picked,100,0.3286,0.1218,2.698,0.0,0.0308,0.00329,0.0364,0.0159,0.0241,1.0
old,dH,105007,328,picked,222,0.8037,0.1487,5.405,0.0,0.0564,0.00362,0.0435,0.0516,0.0502,1.0
old,dH,106002,267,picked,189,0.7575,0.1226,6.177,0.0,0.1299,0.00401,0.0421,0.056,0.017,1.0
old,dH,106003,279,picked,216,0.3481,0.145,2.4,0.0,0.0289,0.00161,0.0514,0.0492,0.0205,1.0
old,dH,106005,305,picked,100,0.3034,0.0999,3.036,0.0,0.056,0.00303,0.0437,0.0105,0.0145,1.0
old,dH,106007,329,picked,83,0.2661,0.0993,2.681,0.0,0.0503,0.00321,0.0355,0.0148,0.0146,1.0
old,dH,107001,257,picked,117,0.4707,0.087,5.407,0.0,0.0781,0.00402,0.0462,0.0254,0.016,1.0
old,dH,107002,269,picked,117,0.5521,0.1262,4.375,0.0,0.0742,0.00472,0.0406,0.031,0.0387,1.0
old,dH,107003,280,picked,59,0.2946,0.0875,3.367,0.0,0.0404,0.00499,0.0348,0.0099,0.023,1.0
old,dH,107004,297,picked,88,0.3688,0.1661,2.22,0.0,0.0563,0.00419,0.0416,0.0223,0.0212,1.0
old,dH,107005,306,picked,161,0.8207,0.1919,4.278,0.0,0.0518,0.0051,0.0421,0.056,0.0279,1.0
old,dH,107006,319,picked,114,0.5156,0.1566,3.292,0.0,0.0462,0.00452,0.0337,0.0224,0.0202,1.0
old,dH,107007,330,picked,212,0.9616,0.1563,6.154,0.0,0.0872,0.00454,0.0376,0.0617,0.0134,1.0
old,dDP,100000,232,picked,123,0.5436,0.1022,5.32,0.0,0.0748,0.00442,0.047,0.0243,0.0198,1.0
old,dDP,100002,254,picked,124,0.5106,0.1248,4.091,0.0,0.0799,0.00412,0.0447,0.0269,0.0211,1.0
old,dDP,100003,269,picked,106,0.3777,0.1959,1.928,0.0,0.0578,0.00356,0.0321,0.0387,0.0229,1.0
old,dDP,100004,280,picked,89,0.2722,0.1043,2.61,0.0,0.0527,0.00306,0.0399,0.0192,0.0167,1.0
old,dDP,100006,302,picked,91,0.4131,0.1152,3.587,0.0,0.0607,0.00454,0.0498,0.0244,0.0194,1.0
old,dDP,100007,311,picked,112,0.6999,0.1648,4.246,0.0,0.0706,0.00625,0.0254,0.0863,0.0585,1.0
old,dDP,100008,325,picked,116,0.3573,0.1588,2.25,0.0,0.0437,0.00308,0.0409,0.0365,0.0214,1.0
old,dDP,100009,233,picked,104,0.3336,0.1165,2.863,0.0,0.0631,0.00321,0.0315,0.0186,0.0192,1.0
old,dDP,100010,278,picked,161,0.8492,0.1764,4.814,0.0,0.0706,0.00527,0.0313,0.0867,0.0519,1.0
old,dDP,101003,247,picked,112,0.81,0.1397,5.797,0.0,0.0904,0.00723,0.0312,0.0785,0.0571,1.0
old,dDP,101005,273,picked,106,0.4354,0.1722,2.528,0.0,0.0514,0.00411,0.0293,0.027,0.022,1.0
old,dDP,101006,281,picked,126,0.6992,0.1851,3.777,0.0,0.0537,0.00555,0.0359,0.0829,0.0539,1.0
old,dDP,101009,304,picked,89,0.3676,0.1562,2.354,0.0,0.0538,0.00413,0.0362,0.0268,0.0215,1.0
old,dDP,101010,315,picked,146,0.4992,0.1725,2.893,0.0,0.0607,0.00342,0.0419,0.0276,0.0198,1.0
old,dDP,101012,326,picked,100,0.3882,0.0589,6.586,0.0,0.0801,0.00388,0.0481,0.0178,0.0149,1.0
old,dDP,101013,259,picked,102,0.7211,0.1508,4.783,0.0,0.0716,0.00707,0.0277,0.0705,0.0533,1.0
old,dDP,101014,301,picked,100,0.3621,0.1464,2.474,0.0,0.0506,0.00362,0.0278,0.022,0.019,1.0
old,dDP,102000,235,picked,116,0.4751,0.2009,2.366,0.0,0.0477,0.0041,0.0378,0.0407,0.0189,1.0
old,dDP,102001,248,picked,216,0.4052,0.1885,2.15,0.0,0.0629,0.00188,0.024,0.0303,0.0153,1.0
old,dDP,102002,257,picked,145,0.44,0.1729,2.544,0.0,0.0622,0.00303,0.027,0.0253,0.0162,1.0
old,dDP,102003,274,picked,96,0.3104,0.1291,2.404,0.0,0.0642,0.00323,0.0359,0.0154,0.0189,1.0
old,dDP,102004,283,picked,146,0.4312,0.176,2.45,0.0,0.039,0.00295,0.0416,0.0411,0.0212,1.0
old,dDP,102005,297,picked,120,0.4991,0.1971,2.532,0.0,0.0617,0.00416,0.0445,0.0434,0.0184,1.0
old,dDP,102006,305,picked,57,0.2909,0.1038,2.802,0.0,0.0552,0.0051,0.035,0.0178,0.0226,1.0
old,dDP,102007,316,picked,184,0.6161,0.1228,5.017,0.0,0.0705,0.00335,0.0237,0.0294,0.0208,1.0
old,dDP,102009,327,picked,134,0.8562,0.142,6.029,0.0,0.0876,0.00639,0.0306,0.0777,0.0607,1.0
old,dDP,102010,262,picked,79,0.2817,0.1025,2.749,0.0,0.0601,0.00357,0.0398,0.0182,0.0168,1.0
